# This file was automatically generated by ViPErLEED v0.1.0
# It contains the pattern file generated from:
# C:/Users/Michele-Win/Desktop/TEMP/input examples/Cu(111)-(3xr3)rect.tlm
#
# Structure: [(1,0),(2,4)] on p6m
#
# Max. LEED Energy: 800.0 eV
# Bulk lattice: Rectangular (p1); a = 4.4055 AA; b = 15.2611 AA
#        Basis: a = [4.4055 0.0000]; b = [ 0.0000 15.2611]
# Surface lattice: Hexagonal (p6m); a = 4.4055 AA; alpha = 120.00 deg
#
# Exporting beams from 12 domain(s) out of 12 symmetry-equivalent ones
# Domain 1 - Basis: a = [4.4055 0.0000]; b = [ 0.0000 15.2611]
#            Superlattice: [[1 0] [2 4]]
# Domain 2 - Basis: a = [4.4055 0.0000]; b = [ -0.0000 -15.2611]
#            Superlattice: [[ 1  0] [-2 -4]]
# Domain 3 - Basis: a = [-2.2028 -3.8153]; b = [-13.2165   7.6305]
#            Superlattice: [[-1 -1] [-2  2]]
# Domain 4 - Basis: a = [-4.4055  0.0000]; b = [ 0.0000 15.2611]
#            Superlattice: [[-1  0] [ 2  4]]
# Domain 5 - Basis: a = [2.2028 3.8153]; b = [13.2165 -7.6305]
#            Superlattice: [[ 1  1] [ 2 -2]]
# Domain 6 - Basis: a = [-2.2027  3.8153]; b = [13.2165  7.6305]
#            Superlattice: [[0 1] [4 2]]
# Domain 7 - Basis: a = [ 2.2027 -3.8153]; b = [-13.2165  -7.6305]
#            Superlattice: [[ 0 -1] [-4 -2]]
# Domain 8 - Basis: a = [2.2028 3.8153]; b = [-13.2165   7.6305]
#            Superlattice: [[ 1  1] [-2  2]]
# Domain 9 - Basis: a = [ 2.2027 -3.8153]; b = [13.2165  7.6305]
#            Superlattice: [[ 0 -1] [ 4  2]]
# Domain 10 - Basis: a = [-2.2027  3.8153]; b = [-13.2165  -7.6305]
#             Superlattice: [[ 0  1] [-4 -2]]
# Domain 11 - Basis: a = [-4.4055  0.0000]; b = [ -0.0000 -15.2611]
#             Superlattice: [[-1  0] [-2 -4]]
# Domain 12 - Basis: a = [-2.2028 -3.8153]; b = [13.2165 -7.6305]
#             Superlattice: [[-1 -1] [ 2 -2]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h  |  k  ),   h    ,   k    ,   gx    ,   gy    ,group,        domain(s)         ,
( -4  |  1  ),-4.00000, 1.00000, -5.70486, -1.64685,   49,1+2+3+4+5+6+7+8+9+10+11+12,
( -1  | -3  ),-1.00000,-3.00000, -1.42621, -5.76397,   49,1+2+3+4+5+6+7+8+9+10+11+12,
( -3  | -1  ),-3.00000,-1.00000, -4.27864, -4.11712,   49,1+2+3+4+5+6+7+8+9+10+11+12,
( 13/4|  3/4), 3.25000, 0.75000,  4.63520,  3.91127,   50,                  3+5+8+12,
(  3/4| 13/4), 0.75000, 3.25000,  1.06966,  5.96983,   50,                  3+5+8+12,
(  4  | -3/4), 4.00000,-0.75000,  5.70486,  2.05856,   50,                  1+2+4+11,
( -3/4|  4  ),-0.75000, 4.00000, -1.06966,  5.96983,   50,                  6+7+9+10,
(  4  |-13/4), 4.00000,-3.25000,  5.70486, -2.05856,   50,                  1+2+4+11,
(-13/4|  4  ),-3.25000, 4.00000, -4.63520,  3.91127,   50,                  6+7+9+10,
( 13/4| -4  ), 3.25000,-4.00000,  4.63520, -3.91127,   50,                  6+7+9+10,
( -4  | 13/4),-4.00000, 3.25000, -5.70486,  2.05856,   50,                  1+2+4+11,
(  3/4| -4  ), 0.75000,-4.00000,  1.06966, -5.96983,   50,                  6+7+9+10,
( -4  |  3/4),-4.00000, 0.75000, -5.70486, -2.05856,   50,                  1+2+4+11,
( -3/4|-13/4),-0.75000,-3.25000, -1.06966, -5.96983,   50,                  3+5+8+12,
(-13/4| -3/4),-3.25000,-0.75000, -4.63520, -3.91127,   50,                  3+5+8+12,
(  9/4|  2  ), 2.25000, 2.00000,  3.20898,  5.14641,   51,                  6+7+9+10,
(  2  |  9/4), 2.00000, 2.25000,  2.85243,  5.35226,   51,                  1+2+4+11,
( 17/4| -2  ), 4.25000,-2.00000,  6.06141,  0.20586,   51,                  6+7+9+10,
( -2  | 17/4),-2.00000, 4.25000, -2.85243,  5.35226,   51,                  1+2+4+11,
( 17/4| -9/4), 4.25000,-2.25000,  6.06141, -0.20586,   51,                  3+5+8+12,
( -9/4| 17/4),-2.25000, 4.25000, -3.20898,  5.14641,   51,                  3+5+8+12,
(  9/4|-17/4), 2.25000,-4.25000,  3.20898, -5.14641,   51,                  3+5+8+12,
(-17/4|  9/4),-4.25000, 2.25000, -6.06141,  0.20586,   51,                  3+5+8+12,
(  2  |-17/4), 2.00000,-4.25000,  2.85243, -5.35226,   51,                  1+2+4+11,
(-17/4|  2  ),-4.25000, 2.00000, -6.06141, -0.20586,   51,                  6+7+9+10,
( -2  | -9/4),-2.00000,-2.25000, -2.85243, -5.35226,   51,                  1+2+4+11,
( -9/4| -2  ),-2.25000,-2.00000, -3.20898, -5.14641,   51,                  6+7+9+10,
( 15/4|  0  ), 3.75000, 0.00000,  5.34830,  3.08784,   52,                  6+7+9+10,
(  0  | 15/4), 0.00000, 3.75000,  0.00000,  6.17569,   52,                  1+2+4+11,
( 15/4|-15/4), 3.75000,-3.75000,  5.34830, -3.08784,   52,                  3+5+8+12,
(-15/4| 15/4),-3.75000, 3.75000, -5.34830,  3.08784,   52,                  3+5+8+12,
(  0  |-15/4), 0.00000,-3.75000,  0.00000, -6.17569,   52,                  1+2+4+11,
(-15/4|  0  ),-3.75000, 0.00000, -5.34830, -3.08784,   52,                  6+7+9+10,
(  7/2|  1/2), 3.50000, 0.50000,  4.99175,  3.70541,   53,                  3+5+8+12,
(  1/2|  7/2), 0.50000, 3.50000,  0.71311,  6.17569,   53,                  3+5+8+12,
(  4  | -1/2), 4.00000,-0.50000,  5.70486,  2.47027,   53,                  1+2+4+11,
( -1/2|  4  ),-0.50000, 4.00000, -0.71311,  6.17569,   53,                  6+7+9+10,
(  4  | -7/2), 4.00000,-3.50000,  5.70486, -2.47027,   53,                  1+2+4+11,
( -7/2|  4  ),-3.50000, 4.00000, -4.99175,  3.70541,   53,                  6+7+9+10,
(  7/2| -4  ), 3.50000,-4.00000,  4.99175, -3.70541,   53,                  6+7+9+10,
( -4  |  7/2),-4.00000, 3.50000, -5.70486,  2.47027,   53,                  1+2+4+11,
(  1/2| -4  ), 0.50000,-4.00000,  0.71311, -6.17569,   53,                  6+7+9+10,
( -4  |  1/2),-4.00000, 0.50000, -5.70486, -2.47027,   53,                  1+2+4+11,
( -1/2| -7/2),-0.50000,-3.50000, -0.71311, -6.17569,   53,                  3+5+8+12,
( -7/2| -1/2),-3.50000,-0.50000, -4.99175, -3.70541,   53,                  3+5+8+12,
(  3  |  5/4), 3.00000, 1.25000,  4.27864,  4.52884,   54,                  1+2+4+11,
(  5/4|  3  ), 1.25000, 3.00000,  1.78277,  5.96983,   54,                  6+7+9+10,
( 17/4| -5/4), 4.25000,-1.25000,  6.06141,  1.44099,   54,                  3+5+8+12,
( -5/4| 17/4),-1.25000, 4.25000, -1.78277,  5.96983,   54,                  3+5+8+12,
( 17/4| -3  ), 4.25000,-3.00000,  6.06141, -1.44099,   54,                  6+7+9+10,
( -3  | 17/4),-3.00000, 4.25000, -4.27864,  4.52884,   54,                  1+2+4+11,
(  3  |-17/4), 3.00000,-4.25000,  4.27864, -4.52884,   54,                  1+2+4+11,
(-17/4|  3  ),-4.25000, 3.00000, -6.06141,  1.44099,   54,                  6+7+9+10,
(  5/4|-17/4), 1.25000,-4.25000,  1.78277, -5.96983,   54,                  3+5+8+12,
(-17/4|  5/4),-4.25000, 1.25000, -6.06141, -1.44099,   54,                  3+5+8+12,
( -5/4| -3  ),-1.25000,-3.00000, -1.78277, -5.96983,   54,                  6+7+9+10,
( -3  | -5/4),-3.00000,-1.25000, -4.27864, -4.52884,   54,                  1+2+4+11,
( 13/4|  1  ), 3.25000, 1.00000,  4.63520,  4.32298,   55,                  6+7+9+10,
(  1  | 13/4), 1.00000, 3.25000,  1.42621,  6.17569,   55,                  1+2+4+11,
( 17/4| -1  ), 4.25000,-1.00000,  6.06141,  1.85271,   55,                  6+7+9+10,
( -1  | 17/4),-1.00000, 4.25000, -1.42621,  6.17569,   55,                  1+2+4+11,
( 17/4|-13/4), 4.25000,-3.25000,  6.06141, -1.85271,   55,                  3+5+8+12,
(-13/4| 17/4),-3.25000, 4.25000, -4.63520,  4.32298,   55,                  3+5+8+12,
( 13/4|-17/4), 3.25000,-4.25000,  4.63520, -4.32298,   55,                  3+5+8+12,
(-17/4| 13/4),-4.25000, 3.25000, -6.06141,  1.85271,   55,                  3+5+8+12,
(  1  |-17/4), 1.00000,-4.25000,  1.42621, -6.17569,   55,                  1+2+4+11,
(-17/4|  1  ),-4.25000, 1.00000, -6.06141, -1.85271,   55,                  6+7+9+10,
( -1  |-13/4),-1.00000,-3.25000, -1.42621, -6.17569,   55,                  1+2+4+11,
(-13/4| -1  ),-3.25000,-1.00000, -4.63520, -4.32298,   55,                  6+7+9+10,
( 15/4|  1/4), 3.75000, 0.25000,  5.34830,  3.49956,   56,                  3+5+8+12,
(  1/4| 15/4), 0.25000, 3.75000,  0.35655,  6.38154,   56,                  3+5+8+12,
(  4  | -1/4), 4.00000,-0.25000,  5.70486,  2.88199,   56,                  1+2+4+11,
( -1/4|  4  ),-0.25000, 4.00000, -0.35655,  6.38154,   56,                  6+7+9+10,
(  4  |-15/4), 4.00000,-3.75000,  5.70486, -2.88199,   56,                  1+2+4+11,
(-15/4|  4  ),-3.75000, 4.00000, -5.34830,  3.49956,   56,                  6+7+9+10,
( 15/4| -4  ), 3.75000,-4.00000,  5.34830, -3.49956,   56,                  6+7+9+10,
( -4  | 15/4),-4.00000, 3.75000, -5.70486,  2.88199,   56,                  1+2+4+11,
(  1/4| -4  ), 0.25000,-4.00000,  0.35655, -6.38154,   56,                  6+7+9+10,
( -4  |  1/4),-4.00000, 0.25000, -5.70486, -2.88199,   56,                  1+2+4+11,
( -1/4|-15/4),-0.25000,-3.75000, -0.35655, -6.38154,   56,                  3+5+8+12,
(-15/4| -1/4),-3.75000,-0.25000, -5.34830, -3.49956,   56,                  3+5+8+12,
(  5/2|  2  ), 2.50000, 2.00000,  3.56553,  5.35226,   57,                  6+7+9+10,
(  2  |  5/2), 2.00000, 2.50000,  2.85243,  5.76397,   57,                  1+2+4+11,
(  9/2| -2  ), 4.50000,-2.00000,  6.41796,  0.41171,   57,                  6+7+9+10,
( -2  |  9/2),-2.00000, 4.50000, -2.85243,  5.76397,   57,                  1+2+4+11,
(  9/2| -5/2), 4.50000,-2.50000,  6.41796, -0.41171,   57,                  3+5+8+12,
( -5/2|  9/2),-2.50000, 4.50000, -3.56553,  5.35226,   57,                  3+5+8+12,
(  5/2| -9/2), 2.50000,-4.50000,  3.56553, -5.35226,   57,                  3+5+8+12,
( -9/2|  5/2),-4.50000, 2.50000, -6.41796,  0.41171,   57,                  3+5+8+12,
(  2  | -9/2), 2.00000,-4.50000,  2.85243, -5.76397,   57,                  1+2+4+11,
( -9/2|  2  ),-4.50000, 2.00000, -6.41796, -0.41171,   57,                  6+7+9+10,
( -2  | -5/2),-2.00000,-2.50000, -2.85243, -5.76397,   57,                  1+2+4+11,
( -5/2| -2  ),-2.50000,-2.00000, -3.56553, -5.35226,   57,                  6+7+9+10,
(  3  |  3/2), 3.00000, 1.50000,  4.27864,  4.94055,   58,                  1+2+4+11,
(  3/2|  3  ), 1.50000, 3.00000,  2.13932,  6.17569,   58,                  6+7+9+10,
(  9/2| -3/2), 4.50000,-1.50000,  6.41796,  1.23514,   58,                  3+5+8+12,
( -3/2|  9/2),-1.50000, 4.50000, -2.13932,  6.17569,   58,                  3+5+8+12,
(  9/2| -3  ), 4.50000,-3.00000,  6.41796, -1.23514,   58,                  6+7+9+10,
( -3  |  9/2),-3.00000, 4.50000, -4.27864,  4.94055,   58,                  1+2+4+11,
(  3  | -9/2), 3.00000,-4.50000,  4.27864, -4.94055,   58,                  1+2+4+11,
( -9/2|  3  ),-4.50000, 3.00000, -6.41796,  1.23514,   58,                  6+7+9+10,
(  3/2| -9/2), 1.50000,-4.50000,  2.13932, -6.17569,   58,                  3+5+8+12,
( -9/2|  3/2),-4.50000, 1.50000, -6.41796, -1.23514,   58,                  3+5+8+12,
( -3/2| -3  ),-1.50000,-3.00000, -2.13932, -6.17569,   58,                  6+7+9+10,
( -3  | -3/2),-3.00000,-1.50000, -4.27864, -4.94055,   58,                  1+2+4+11,
(  4  |  0  ), 4.00000, 0.00000,  5.70486,  3.29370,   59,1+2+3+4+5+6+7+8+9+10+11+12,
(  0  |  4  ), 0.00000, 4.00000,  0.00000,  6.58740,   59,1+2+3+4+5+6+7+8+9+10+11+12,
(  4  | -4  ), 4.00000,-4.00000,  5.70486, -3.29370,   59,1+2+3+4+5+6+7+8+9+10+11+12,
( -4  |  4  ),-4.00000, 4.00000, -5.70486,  3.29370,   59,1+2+3+4+5+6+7+8+9+10+11+12,
(  0  | -4  ), 0.00000,-4.00000,  0.00000, -6.58740,   59,1+2+3+4+5+6+7+8+9+10+11+12,
( -4  |  0  ),-4.00000, 0.00000, -5.70486, -3.29370,   59,1+2+3+4+5+6+7+8+9+10+11+12,
(  7/2|  1  ), 3.50000, 1.00000,  4.99175,  4.52884,   60,                  6+7+9+10,
(  1  |  7/2), 1.00000, 3.50000,  1.42621,  6.58740,   60,                  1+2+4+11,
(  9/2| -1  ), 4.50000,-1.00000,  6.41796,  2.05856,   60,                  6+7+9+10,
( -1  |  9/2),-1.00000, 4.50000, -1.42621,  6.58740,   60,                  1+2+4+11,
(  9/2| -7/2), 4.50000,-3.50000,  6.41796, -2.05856,   60,                  3+5+8+12,
( -7/2|  9/2),-3.50000, 4.50000, -4.99175,  4.52884,   60,                  3+5+8+12,
(  7/2| -9/2), 3.50000,-4.50000,  4.99175, -4.52884,   60,                  3+5+8+12,
( -9/2|  7/2),-4.50000, 3.50000, -6.41796,  2.05856,   60,                  3+5+8+12,
(  1  | -9/2), 1.00000,-4.50000,  1.42621, -6.58740,   60,                  1+2+4+11,
( -9/2|  1  ),-4.50000, 1.00000, -6.41796, -2.05856,   60,                  6+7+9+10,
( -1  | -7/2),-1.00000,-3.50000, -1.42621, -6.58740,   60,                  1+2+4+11,
( -7/2| -1  ),-3.50000,-1.00000, -4.99175, -4.52884,   60,                  6+7+9+10,
(  4  |  1/4), 4.00000, 0.25000,  5.70486,  3.70541,   61,                  1+2+4+11,
(  1/4|  4  ), 0.25000, 4.00000,  0.35655,  6.79326,   61,                  6+7+9+10,
( 17/4| -1/4), 4.25000,-0.25000,  6.06141,  3.08784,   61,                  3+5+8+12,
( -1/4| 17/4),-0.25000, 4.25000, -0.35655,  6.79326,   61,                  3+5+8+12,
( 17/4| -4  ), 4.25000,-4.00000,  6.06141, -3.08784,   61,                  6+7+9+10,
( -4  | 17/4),-4.00000, 4.25000, -5.70486,  3.70541,   61,                  1+2+4+11,
(  4  |-17/4), 4.00000,-4.25000,  5.70486, -3.70541,   61,                  1+2+4+11,
(-17/4|  4  ),-4.25000, 4.00000, -6.06141,  3.08784,   61,                  6+7+9+10,
(  1/4|-17/4), 0.25000,-4.25000,  0.35655, -6.79326,   61,                  3+5+8+12,
(-17/4|  1/4),-4.25000, 0.25000, -6.06141, -3.08784,   61,                  3+5+8+12,
( -1/4| -4  ),-0.25000,-4.00000, -0.35655, -6.79326,   61,                  6+7+9+10,
( -4  | -1/4),-4.00000,-0.25000, -5.70486, -3.70541,   61,                  1+2+4+11,
( 11/4|  2  ), 2.75000, 2.00000,  3.92209,  5.55812,   62,                  6+7+9+10,
(  2  | 11/4), 2.00000, 2.75000,  2.85243,  6.17569,   62,                  1+2+4+11,
( 19/4| -2  ), 4.75000,-2.00000,  6.77452,  0.61757,   62,                  6+7+9+10,
( -2  | 19/4),-2.00000, 4.75000, -2.85243,  6.17569,   62,                  1+2+4+11,
( 19/4|-11/4), 4.75000,-2.75000,  6.77452, -0.61757,   62,                  3+5+8+12,
(-11/4| 19/4),-2.75000, 4.75000, -3.92209,  5.55812,   62,                  3+5+8+12,
( 11/4|-19/4), 2.75000,-4.75000,  3.92209, -5.55812,   62,                  3+5+8+12,
(-19/4| 11/4),-4.75000, 2.75000, -6.77452,  0.61757,   62,                  3+5+8+12,
(  2  |-19/4), 2.00000,-4.75000,  2.85243, -6.17569,   62,                  1+2+4+11,
(-19/4|  2  ),-4.75000, 2.00000, -6.77452, -0.61757,   62,                  6+7+9+10,
( -2  |-11/4),-2.00000,-2.75000, -2.85243, -6.17569,   62,                  1+2+4+11,
(-11/4| -2  ),-2.75000,-2.00000, -3.92209, -5.55812,   62,                  6+7+9+10,
(  3  |  7/4), 3.00000, 1.75000,  4.27864,  5.35226,   63,                  1+2+4+11,
(  7/4|  3  ), 1.75000, 3.00000,  2.49587,  6.38154,   63,                  6+7+9+10,
( 19/4| -7/4), 4.75000,-1.75000,  6.77452,  1.02928,   63,                  3+5+8+12,
( -7/4| 19/4),-1.75000, 4.75000, -2.49587,  6.38154,   63,                  3+5+8+12,
( 19/4| -3  ), 4.75000,-3.00000,  6.77452, -1.02928,   63,                  6+7+9+10,
( -3  | 19/4),-3.00000, 4.75000, -4.27864,  5.35226,   63,                  1+2+4+11,
(  3  |-19/4), 3.00000,-4.75000,  4.27864, -5.35226,   63,                  1+2+4+11,
(-19/4|  3  ),-4.75000, 3.00000, -6.77452,  1.02928,   63,                  6+7+9+10,
(  7/4|-19/4), 1.75000,-4.75000,  2.49587, -6.38154,   63,                  3+5+8+12,
(-19/4|  7/4),-4.75000, 1.75000, -6.77452, -1.02928,   63,                  3+5+8+12,
( -7/4| -3  ),-1.75000,-3.00000, -2.49587, -6.38154,   63,                  6+7+9+10,
( -3  | -7/4),-3.00000,-1.75000, -4.27864, -5.35226,   63,                  1+2+4+11,
( 17/4|  0  ), 4.25000, 0.00000,  6.06141,  3.49956,   64,                  6+7+9+10,
(  0  | 17/4), 0.00000, 4.25000,  0.00000,  6.99911,   64,                  1+2+4+11,
( 17/4|-17/4), 4.25000,-4.25000,  6.06141, -3.49956,   64,                  3+5+8+12,
(-17/4| 17/4),-4.25000, 4.25000, -6.06141,  3.49956,   64,                  3+5+8+12,
(  0  |-17/4), 0.00000,-4.25000,  0.00000, -6.99911,   64,                  1+2+4+11,
(-17/4|  0  ),-4.25000, 0.00000, -6.06141, -3.49956,   64,                  6+7+9+10,
(  4  |  1/2), 4.00000, 0.50000,  5.70486,  4.11712,   65,                  1+2+4+11,
(  1/2|  4  ), 0.50000, 4.00000,  0.71311,  6.99911,   65,                  6+7+9+10,
(  9/2| -1/2), 4.50000,-0.50000,  6.41796,  2.88199,   65,                  3+5+8+12,
( -1/2|  9/2),-0.50000, 4.50000, -0.71311,  6.99911,   65,                  3+5+8+12,
(  9/2| -4  ), 4.50000,-4.00000,  6.41796, -2.88199,   65,                  6+7+9+10,
( -4  |  9/2),-4.00000, 4.50000, -5.70486,  4.11712,   65,                  1+2+4+11,
(  4  | -9/2), 4.00000,-4.50000,  5.70486, -4.11712,   65,                  1+2+4+11,
( -9/2|  4  ),-4.50000, 4.00000, -6.41796,  2.88199,   65,                  6+7+9+10,
(  1/2| -9/2), 0.50000,-4.50000,  0.71311, -6.99911,   65,                  3+5+8+12,
( -9/2|  1/2),-4.50000, 0.50000, -6.41796, -2.88199,   65,                  3+5+8+12,
( -1/2| -4  ),-0.50000,-4.00000, -0.71311, -6.99911,   65,                  6+7+9+10,
( -4  | -1/2),-4.00000,-0.50000, -5.70486, -4.11712,   65,                  1+2+4+11,
(  5/2|  5/2), 2.50000, 2.50000,  3.56553,  6.17569,   66,                  3+5+8+12,
(  5  | -5/2), 5.00000,-2.50000,  7.13107, -0.00000,   66,                  1+2+4+11,
( -5/2|  5  ),-2.50000, 5.00000, -3.56553,  6.17569,   66,                  6+7+9+10,
(  5/2| -5  ), 2.50000,-5.00000,  3.56553, -6.17569,   66,                  6+7+9+10,
( -5  |  5/2),-5.00000, 2.50000, -7.13107,  0.00000,   66,                  1+2+4+11,
( -5/2| -5/2),-2.50000,-2.50000, -3.56553, -6.17569,   66,                  3+5+8+12,
( 11/4|  9/4), 2.75000, 2.25000,  3.92209,  5.96983,   67,                  3+5+8+12,
(  9/4| 11/4), 2.25000, 2.75000,  3.20898,  6.38154,   67,                  3+5+8+12,
(  5  | -9/4), 5.00000,-2.25000,  7.13107,  0.41171,   67,                  1+2+4+11,
( -9/4|  5  ),-2.25000, 5.00000, -3.20898,  6.38154,   67,                  6+7+9+10,
(  5  |-11/4), 5.00000,-2.75000,  7.13107, -0.41171,   67,                  1+2+4+11,
(-11/4|  5  ),-2.75000, 5.00000, -3.92209,  5.96983,   67,                  6+7+9+10,
( 11/4| -5  ), 2.75000,-5.00000,  3.92209, -5.96983,   67,                  6+7+9+10,
( -5  | 11/4),-5.00000, 2.75000, -7.13107,  0.41171,   67,                  1+2+4+11,
(  9/4| -5  ), 2.25000,-5.00000,  3.20898, -6.38154,   67,                  6+7+9+10,
( -5  |  9/4),-5.00000, 2.25000, -7.13107, -0.41171,   67,                  1+2+4+11,
( -9/4|-11/4),-2.25000,-2.75000, -3.20898, -6.38154,   67,                  3+5+8+12,
(-11/4| -9/4),-2.75000,-2.25000, -3.92209, -5.96983,   67,                  3+5+8+12,
( 15/4|  1  ), 3.75000, 1.00000,  5.34830,  4.73469,   68,                  6+7+9+10,
(  1  | 15/4), 1.00000, 3.75000,  1.42621,  6.99911,   68,                  1+2+4+11,
( 19/4| -1  ), 4.75000,-1.00000,  6.77452,  2.26442,   68,                  6+7+9+10,
( -1  | 19/4),-1.00000, 4.75000, -1.42621,  6.99911,   68,                  1+2+4+11,
( 19/4|-15/4), 4.75000,-3.75000,  6.77452, -2.26442,   68,                  3+5+8+12,
(-15/4| 19/4),-3.75000, 4.75000, -5.34830,  4.73469,   68,                  3+5+8+12,
( 15/4|-19/4), 3.75000,-4.75000,  5.34830, -4.73469,   68,                  3+5+8+12,
(-19/4| 15/4),-4.75000, 3.75000, -6.77452,  2.26442,   68,                  3+5+8+12,
(  1  |-19/4), 1.00000,-4.75000,  1.42621, -6.99911,   68,                  1+2+4+11,
(-19/4|  1  ),-4.75000, 1.00000, -6.77452, -2.26442,   68,                  6+7+9+10,
( -1  |-15/4),-1.00000,-3.75000, -1.42621, -6.99911,   68,                  1+2+4+11,
(-15/4| -1  ),-3.75000,-1.00000, -5.34830, -4.73469,   68,                  6+7+9+10,
(  3  |  2  ), 3.00000, 2.00000,  4.27864,  5.76397,   69,1+2+3+4+5+6+7+8+9+10+11+12,
(  2  |  3  ), 2.00000, 3.00000,  2.85243,  6.58740,   69,1+2+3+4+5+6+7+8+9+10+11+12,
(  5  | -2  ), 5.00000,-2.00000,  7.13107,  0.82342,   69,1+2+3+4+5+6+7+8+9+10+11+12,
( -2  |  5  ),-2.00000, 5.00000, -2.85243,  6.58740,   69,1+2+3+4+5+6+7+8+9+10+11+12,
(  5  | -3  ), 5.00000,-3.00000,  7.13107, -0.82342,   69,1+2+3+4+5+6+7+8+9+10+11+12,
( -3  |  5  ),-3.00000, 5.00000, -4.27864,  5.76397,   69,1+2+3+4+5+6+7+8+9+10+11+12,
(  3  | -5  ), 3.00000,-5.00000,  4.27864, -5.76397,   69,1+2+3+4+5+6+7+8+9+10+11+12,
( -5  |  3  ),-5.00000, 3.00000, -7.13107,  0.82342,   69,1+2+3+4+5+6+7+8+9+10+11+12,
(  2  | -5  ), 2.00000,-5.00000,  2.85243, -6.58740,   69,1+2+3+4+5+6+7+8+9+10+11+12,
( -5  |  2  ),-5.00000, 2.00000, -7.13107, -0.82342,   69,1+2+3+4+5+6+7+8+9+10+11+12,
( -2  | -3  ),-2.00000,-3.00000, -2.85243, -6.58740,   69,1+2+3+4+5+6+7+8+9+10+11+12,
( -3  | -2  ),-3.00000,-2.00000, -4.27864, -5.76397,   69,1+2+3+4+5+6+7+8+9+10+11+12,
( 13/4|  7/4), 3.25000, 1.75000,  4.63520,  5.55812,   70,                  3+5+8+12,
(  7/4| 13/4), 1.75000, 3.25000,  2.49587,  6.79326,   70,                  3+5+8+12,
(  5  | -7/4), 5.00000,-1.75000,  7.13107,  1.23514,   70,                  1+2+4+11,
( -7/4|  5  ),-1.75000, 5.00000, -2.49587,  6.79326,   70,                  6+7+9+10,
(  5  |-13/4), 5.00000,-3.25000,  7.13107, -1.23514,   70,                  1+2+4+11,
(-13/4|  5  ),-3.25000, 5.00000, -4.63520,  5.55812,   70,                  6+7+9+10,
( 13/4| -5  ), 3.25000,-5.00000,  4.63520, -5.55812,   70,                  6+7+9+10,
( -5  | 13/4),-5.00000, 3.25000, -7.13107,  1.23514,   70,                  1+2+4+11,
(  7/4| -5  ), 1.75000,-5.00000,  2.49587, -6.79326,   70,                  6+7+9+10,
( -5  |  7/4),-5.00000, 1.75000, -7.13107, -1.23514,   70,                  1+2+4+11,
( -7/4|-13/4),-1.75000,-3.25000, -2.49587, -6.79326,   70,                  3+5+8+12,
(-13/4| -7/4),-3.25000,-1.75000, -4.63520, -5.55812,   70,                  3+5+8+12,
(  4  |  3/4), 4.00000, 0.75000,  5.70486,  4.52884,   71,                  1+2+4+11,
(  3/4|  4  ), 0.75000, 4.00000,  1.06966,  7.20497,   71,                  6+7+9+10,
( 19/4| -3/4), 4.75000,-0.75000,  6.77452,  2.67613,   71,                  3+5+8+12,
( -3/4| 19/4),-0.75000, 4.75000, -1.06966,  7.20497,   71,                  3+5+8+12,
( 19/4| -4  ), 4.75000,-4.00000,  6.77452, -2.67613,   71,                  6+7+9+10,
( -4  | 19/4),-4.00000, 4.75000, -5.70486,  4.52884,   71,                  1+2+4+11,
(  4  |-19/4), 4.00000,-4.75000,  5.70486, -4.52884,   71,                  1+2+4+11,
(-19/4|  4  ),-4.75000, 4.00000, -6.77452,  2.67613,   71,                  6+7+9+10,
(  3/4|-19/4), 0.75000,-4.75000,  1.06966, -7.20497,   71,                  3+5+8+12,
(-19/4|  3/4),-4.75000, 0.75000, -6.77452, -2.67613,   71,                  3+5+8+12,
( -3/4| -4  ),-0.75000,-4.00000, -1.06966, -7.20497,   71,                  6+7+9+10,
( -4  | -3/4),-4.00000,-0.75000, -5.70486, -4.52884,   71,                  1+2+4+11,
(  7/2|  3/2), 3.50000, 1.50000,  4.99175,  5.35226,   72,                  3+5+8+12,
(  3/2|  7/2), 1.50000, 3.50000,  2.13932,  6.99911,   72,                  3+5+8+12,
(  5  | -3/2), 5.00000,-1.50000,  7.13107,  1.64685,   72,                  1+2+4+11,
( -3/2|  5  ),-1.50000, 5.00000, -2.13932,  6.99911,   72,                  6+7+9+10,
(  5  | -7/2), 5.00000,-3.50000,  7.13107, -1.64685,   72,                  1+2+4+11,
( -7/2|  5  ),-3.50000, 5.00000, -4.99175,  5.35226,   72,                  6+7+9+10,
(  7/2| -5  ), 3.50000,-5.00000,  4.99175, -5.35226,   72,                  6+7+9+10,
( -5  |  7/2),-5.00000, 3.50000, -7.13107,  1.64685,   72,                  1+2+4+11,
(  3/2| -5  ), 1.50000,-5.00000,  2.13932, -6.99911,   72,                  6+7+9+10,
( -5  |  3/2),-5.00000, 1.50000, -7.13107, -1.64685,   72,                  1+2+4+11,
( -3/2| -7/2),-1.50000,-3.50000, -2.13932, -6.99911,   72,                  3+5+8+12,
