# This file was automatically generated by ViPErLEED v. 0.1a.
# Structure: Ir(111)-(r3xr3)R30-Te -- bulk p3m1, surf p31m
#
# Max. LEED Energy: 1100.0 eV
# Bulk lattice: Hexagonal (p3m1); a = 2.7153 AA; alpha = 120.00 deg
#        Basis: a = [2.7153 0.0000]; b = [-1.3576  2.3515]
# Surface lattice: Hexagonal (p31m); a = 4.7030 AA; alpha = 120.00 deg
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [4.0729 2.3515]; b = [-4.0729  2.3515]
#            Superlattice: [[ 2  1] [-1  1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h  |  k  ),   h    ,   k    ,   gx    ,   gy    ,group,domain(s),
(  3  | -5  ), 3.00000,-5.00000,  6.94198, -9.35189,   39,        1,
( -5  |  2  ),-5.00000, 2.00000,-11.56997, -1.33598,   39,        1,
( -3  | -2  ),-3.00000,-2.00000, -6.94198, -9.35189,   39,        1,
(  1/3| 13/3), 0.33333, 4.33333,  0.77133, 12.02386,   40,        1,
( -1/3| 14/3),-0.33333, 4.66667, -0.77133, 12.02386,   40,        1,
( 14/3|-13/3), 4.66667,-4.33333, 10.79863, -5.34394,   40,        1,
( 13/3|-14/3), 4.33333,-4.66667, 10.02730, -6.67992,   40,        1,
(-14/3|  1/3),-4.66667, 0.33333,-10.79863, -5.34394,   40,        1,
(-13/3| -1/3),-4.33333,-0.33333,-10.02730, -6.67992,   40,        1,
( 13/3|  1/3), 4.33333, 0.33333, 10.02730,  6.67992,   41,        1,
( 14/3| -1/3), 4.66667,-0.33333, 10.79863,  5.34394,   41,        1,
(-13/3| 14/3),-4.33333, 4.66667,-10.02730,  6.67992,   41,        1,
(-14/3| 13/3),-4.66667, 4.33333,-10.79863,  5.34394,   41,        1,
(  1/3|-14/3), 0.33333,-4.66667,  0.77133,-12.02386,   41,        1,
( -1/3|-13/3),-0.33333,-4.33333, -0.77133,-12.02386,   41,        1,
(  1  |  4  ), 1.00000, 4.00000,  2.31399, 12.02386,   42,        1,
( -1  |  5  ),-1.00000, 5.00000, -2.31399, 12.02386,   42,        1,
(  5  | -4  ), 5.00000,-4.00000, 11.56997, -4.00795,   42,        1,
(  4  | -5  ), 4.00000,-5.00000,  9.25597, -8.01591,   42,        1,
( -5  |  1  ),-5.00000, 1.00000,-11.56997, -4.00795,   42,        1,
( -4  | -1  ),-4.00000,-1.00000, -9.25597, -8.01591,   42,        1,
(  4  |  1  ), 4.00000, 1.00000,  9.25597,  8.01591,   43,        1,
(  5  | -1  ), 5.00000,-1.00000, 11.56997,  4.00795,   43,        1,
( -4  |  5  ),-4.00000, 5.00000, -9.25597,  8.01591,   43,        1,
( -5  |  4  ),-5.00000, 4.00000,-11.56997,  4.00795,   43,        1,
(  1  | -5  ), 1.00000,-5.00000,  2.31399,-12.02386,   43,        1,
