# This file was automatically generated by TLEEDMAP v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/00 - GUI/input examples/Fe2O3(012)-(2x1).tlm
#
# Structure: Fe2O3(012)-(2x1)
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Rectangular (pg[0 1]); a = 5.0350 AA; b = 5.4266 AA
#        Basis: a = [5.0350 0.0000]; b = [0.0000 5.4266]
# Surface lattice: Rectangular (pg[0 1]); a = 10.0700 AA; b = 5.4266 AA
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [10.0700  0.0000]; b = [0.0000 5.4266]
#            Superlattice: [[2 0] [0 1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(   h |   k ),    h   ,    k   ,    gx   ,    gy   ,group,domain(s),
(  1  | -5  ), 1.00000,-5.00000,  1.24790, -5.78925,   80,        1,
( -1  |  5  ),-1.00000, 5.00000, -1.24790,  5.78925,   81,        1,
(  1  |  5  ), 1.00000, 5.00000,  1.24790,  5.78925,   81,        1,
( -3  | -4  ),-3.00000,-4.00000, -3.74371, -4.63140,   82,        1,
(  3  | -4  ), 3.00000,-4.00000,  3.74371, -4.63140,   82,        1,
( -3  |  4  ),-3.00000, 4.00000, -3.74371,  4.63140,   83,        1,
(  3  |  4  ), 3.00000, 4.00000,  3.74371,  4.63140,   83,        1,
( -9/2| -2  ),-4.50000,-2.00000, -5.61556, -2.31570,   84,        1,
(  9/2| -2  ), 4.50000,-2.00000,  5.61556, -2.31570,   84,        1,
( -9/2|  2  ),-4.50000, 2.00000, -5.61556,  2.31570,   85,        1,
(  9/2|  2  ), 4.50000, 2.00000,  5.61556,  2.31570,   85,        1,
( -4  | -3  ),-4.00000,-3.00000, -4.99161, -3.47355,   86,        1,
(  4  | -3  ), 4.00000,-3.00000,  4.99161, -3.47355,   86,        1,
( -4  |  3  ),-4.00000, 3.00000, -4.99161,  3.47355,   87,        1,
(  4  |  3  ), 4.00000, 3.00000,  4.99161,  3.47355,   87,        1,
( -3/2| -5  ),-1.50000,-5.00000, -1.87185, -5.78925,   88,        1,
(  3/2| -5  ), 1.50000,-5.00000,  1.87185, -5.78925,   88,        1,
( -3/2|  5  ),-1.50000, 5.00000, -1.87185,  5.78925,   89,        1,
(  3/2|  5  ), 1.50000, 5.00000,  1.87185,  5.78925,   89,        1,
( -5  |  0  ),-5.00000, 0.00000, -6.23951,  0.00000,   90,        1,
(  5  |  0  ), 5.00000, 0.00000,  6.23951,  0.00000,   90,        1,
( -2  | -5  ),-2.00000,-5.00000, -2.49580, -5.78925,   91,        1,
(  2  | -5  ), 2.00000,-5.00000,  2.49580, -5.78925,   91,        1,
( -2  |  5  ),-2.00000, 5.00000, -2.49580,  5.78925,   92,        1,
(  2  |  5  ), 2.00000, 5.00000,  2.49580,  5.78925,   92,        1,
( -5  | -1  ),-5.00000,-1.00000, -6.23951, -1.15785,   93,        1,
(  5  | -1  ), 5.00000,-1.00000,  6.23951, -1.15785,   93,        1,
( -5  |  1  ),-5.00000, 1.00000, -6.23951,  1.15785,   94,        1,
(  5  |  1  ), 5.00000, 1.00000,  6.23951,  1.15785,   94,        1,
( -7/2| -4  ),-3.50000,-4.00000, -4.36766, -4.63140,   95,        1,
(  7/2| -4  ), 3.50000,-4.00000,  4.36766, -4.63140,   95,        1,
( -7/2|  4  ),-3.50000, 4.00000, -4.36766,  4.63140,   96,        1,
(  7/2|  4  ), 3.50000, 4.00000,  4.36766,  4.63140,   96,        1,
( -5/2| -5  ),-2.50000,-5.00000, -3.11975, -5.78925,   97,        1,
(  5/2| -5  ), 2.50000,-5.00000,  3.11975, -5.78925,   97,        1,
( -5/2|  5  ),-2.50000, 5.00000, -3.11975,  5.78925,   98,        1,
(  5/2|  5  ), 2.50000, 5.00000,  3.11975,  5.78925,   98,        1,
( -9/2| -3  ),-4.50000,-3.00000, -5.61556, -3.47355,   99,        1,
(  9/2| -3  ), 4.50000,-3.00000,  5.61556, -3.47355,   99,        1,
( -9/2|  3  ),-4.50000, 3.00000, -5.61556,  3.47355,  100,        1,
(  9/2|  3  ), 4.50000, 3.00000,  5.61556,  3.47355,  100,        1,
( -5  | -2  ),-5.00000,-2.00000, -6.23951, -2.31570,  101,        1,
(  5  | -2  ), 5.00000,-2.00000,  6.23951, -2.31570,  101,        1,
( -5  |  2  ),-5.00000, 2.00000, -6.23951,  2.31570,  102,        1,
(  5  |  2  ), 5.00000, 2.00000,  6.23951,  2.31570,  102,        1,
( -4  | -4  ),-4.00000,-4.00000, -4.99161, -4.63140,  103,        1,
(  4  | -4  ), 4.00000,-4.00000,  4.99161, -4.63140,  103,        1,
( -4  |  4  ),-4.00000, 4.00000, -4.99161,  4.63140,  104,        1,
(  4  |  4  ), 4.00000, 4.00000,  4.99161,  4.63140,  104,        1,
(-11/2|  0  ),-5.50000, 0.00000, -6.86346,  0.00000,  105,        1,
( 11/2|  0  ), 5.50000, 0.00000,  6.86346,  0.00000,  105,        1,
( -3  | -5  ),-3.00000,-5.00000, -3.74371, -5.78925,  106,        1,
(  3  | -5  ), 3.00000,-5.00000,  3.74371, -5.78925,  106,        1,
( -3  |  5  ),-3.00000, 5.00000, -3.74371,  5.78925,  107,        1,
(  3  |  5  ), 3.00000, 5.00000,  3.74371,  5.78925,  107,        1,
(  0  | -6  ), 0.00000,-6.00000,  0.00000, -6.94710,  108,        1,
(  0  |  6  ), 0.00000, 6.00000,  0.00000,  6.94710,  109,        1,
(-11/2| -1  ),-5.50000,-1.00000, -6.86346, -1.15785,  110,        1,
( 11/2| -1  ), 5.50000,-1.00000,  6.86346, -1.15785,  110,        1,
(-11/2|  1  ),-5.50000, 1.00000, -6.86346,  1.15785,  111,        1,
( 11/2|  1  ), 5.50000, 1.00000,  6.86346,  1.15785,  111,        1,
( -1/2| -6  ),-0.50000,-6.00000, -0.62395, -6.94710,  112,        1,
(  1/2| -6  ), 0.50000,-6.00000,  0.62395, -6.94710,  112,        1,
( -1/2|  6  ),-0.50000, 6.00000, -0.62395,  6.94710,  113,        1,
(  1/2|  6  ), 0.50000, 6.00000,  0.62395,  6.94710,  113,        1,
( -1  | -6  ),-1.00000,-6.00000, -1.24790, -6.94710,  114,        1,
(  1  | -6  ), 1.00000,-6.00000,  1.24790, -6.94710,  114,        1,
( -1  |  6  ),-1.00000, 6.00000, -1.24790,  6.94710,  115,        1,
(  1  |  6  ), 1.00000, 6.00000,  1.24790,  6.94710,  115,        1,
( -5  | -3  ),-5.00000,-3.00000, -6.23951, -3.47355,  116,        1,
(  5  | -3  ), 5.00000,-3.00000,  6.23951, -3.47355,  116,        1,
( -5  |  3  ),-5.00000, 3.00000, -6.23951,  3.47355,  117,        1,
(  5  |  3  ), 5.00000, 3.00000,  6.23951,  3.47355,  117,        1,
( -3/2| -6  ),-1.50000,-6.00000, -1.87185, -6.94710,  118,        1,
(  3/2| -6  ), 1.50000,-6.00000,  1.87185, -6.94710,  118,        1,
( -3/2|  6  ),-1.50000, 6.00000, -1.87185,  6.94710,  119,        1,
(  3/2|  6  ), 1.50000, 6.00000,  1.87185,  6.94710,  119,        1,
(-11/2| -2  ),-5.50000,-2.00000, -6.86346, -2.31570,  120,        1,
( 11/2| -2  ), 5.50000,-2.00000,  6.86346, -2.31570,  120,        1,
(-11/2|  2  ),-5.50000, 2.00000, -6.86346,  2.31570,  121,        1,
( 11/2|  2  ), 5.50000, 2.00000,  6.86346,  2.31570,  121,        1,
