# This file was automatically generated by ViPErLEED v0.1.0
# It contains the pattern file generated from:
# C:/Users/Michele-Win/Desktop/TEMP/input examples/Cu(111)-(3xr3)rect.tlm
#
# Structure: Cu(111)-[(6,0),(1,2)]
#
# Max. LEED Energy: 800.0 eV
# Bulk lattice: Rectangular (p1); a = 15.2610 AA; b = 4.4055 AA
#        Basis: a = [15.2610  0.0000]; b = [0.0000 4.4055]
# Surface lattice: Hexagonal (p3m1); a = 2.5435 AA; alpha = 120.00 deg
#
# Exporting beams from 6 domain(s) out of 6 symmetry-equivalent ones
# Domain 1 - Basis: a = [15.2610  0.0000]; b = [0.0000 4.4055]
#            Superlattice: [[6 0] [1 2]]
# Domain 2 - Basis: a = [-15.2610   0.0000]; b = [0.0000 4.4055]
#            Superlattice: [[-6  0] [ 1  2]]
# Domain 3 - Basis: a = [ 7.6305 13.2164]; b = [ 3.8152 -2.2027]
#            Superlattice: [[ 6  6] [ 1 -1]]
# Domain 4 - Basis: a = [  7.6305 -13.2164]; b = [-3.8153 -2.2027]
#            Superlattice: [[ 0 -6] [-2 -1]]
# Domain 5 - Basis: a = [-7.6305 13.2164]; b = [-3.8153 -2.2027]
#            Superlattice: [[ 0  6] [-2 -1]]
# Domain 6 - Basis: a = [ -7.6305 -13.2164]; b = [ 3.8152 -2.2027]
#            Superlattice: [[-6 -6] [ 1 -1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h   |  k   ),   h    ,   k    ,   gx    ,   gy    ,group, domain(s) ,
( -5/2 | 11/4 ),-2.50000, 2.75000, -6.17573,  4.27867,  131,        1+2,
(-11/4 |  5/2 ),-2.75000, 2.50000, -6.79330,  3.20900,  131,        4+5,
(  1/4 |-11/4 ), 0.25000,-2.75000,  0.61757, -7.48767,  131,        3+6,
( -1/4 | -5/2 ),-0.25000,-2.50000, -0.61757, -7.48767,  131,        4+5,
(  1/4 |  5/2 ), 0.25000, 2.50000,  0.61757,  7.48767,  132,        4+5,
( -1/4 | 11/4 ),-0.25000, 2.75000, -0.61757,  7.48767,  132,        3+6,
( 11/4 | -5/2 ), 2.75000,-2.50000,  6.79330, -3.20900,  132,        4+5,
(  5/2 |-11/4 ), 2.50000,-2.75000,  6.17573, -4.27867,  132,        1+2,
(-11/4 |  1/4 ),-2.75000, 0.25000, -6.79330, -3.20900,  132,        3+6,
( -5/2 | -1/4 ),-2.50000,-0.25000, -6.17573, -4.27867,  132,        1+2,
(  1   |  2   ), 1.00000, 2.00000,  2.47029,  7.13112,  133,1+2+3+4+5+6,
( -1   |  3   ),-1.00000, 3.00000, -2.47029,  7.13112,  133,1+2+3+4+5+6,
(  3   | -2   ), 3.00000,-2.00000,  7.41087, -1.42622,  133,1+2+3+4+5+6,
(  2   | -3   ), 2.00000,-3.00000,  4.94058, -5.70489,  133,1+2+3+4+5+6,
( -3   |  1   ),-3.00000, 1.00000, -7.41087, -1.42622,  133,1+2+3+4+5+6,
( -2   | -1   ),-2.00000,-1.00000, -4.94058, -5.70489,  133,1+2+3+4+5+6,
(  2   |  1   ), 2.00000, 1.00000,  4.94058,  5.70489,  134,1+2+3+4+5+6,
(  3   | -1   ), 3.00000,-1.00000,  7.41087,  1.42622,  134,1+2+3+4+5+6,
( -2   |  3   ),-2.00000, 3.00000, -4.94058,  5.70489,  134,1+2+3+4+5+6,
( -3   |  2   ),-3.00000, 2.00000, -7.41087,  1.42622,  134,1+2+3+4+5+6,
(  1   | -3   ), 1.00000,-3.00000,  2.47029, -7.13112,  134,1+2+3+4+5+6,
( -1   | -2   ),-1.00000,-2.00000, -2.47029, -7.13112,  134,1+2+3+4+5+6,
(  5/12| 29/12), 0.41667, 2.41667,  1.02929,  7.48767,  135,        3+6,
( -5/12| 17/6 ),-0.41667, 2.83333, -1.02929,  7.48767,  135,        4+5,
( 17/6 |-29/12), 2.83333,-2.41667,  6.99916, -2.85245,  135,        1+2,
( 29/12|-17/6 ), 2.41667,-2.83333,  5.96987, -4.63523,  135,        4+5,
(-17/6 |  5/12),-2.83333, 0.41667, -6.99916, -2.85245,  135,        1+2,
(-29/12| -5/12),-2.41667,-0.41667, -5.96987, -4.63523,  135,        3+6,
( 29/12|  5/12), 2.41667, 0.41667,  5.96987,  4.63523,  136,        3+6,
( 17/6 | -5/12), 2.83333,-0.41667,  6.99916,  2.85245,  136,        1+2,
(-29/12| 17/6 ),-2.41667, 2.83333, -5.96987,  4.63523,  136,        4+5,
(-17/6 | 29/12),-2.83333, 2.41667, -6.99916,  2.85245,  136,        1+2,
(  5/12|-17/6 ), 0.41667,-2.83333,  1.02929, -7.48767,  136,        4+5,
( -5/12|-29/12),-0.41667,-2.41667, -1.02929, -7.48767,  136,        3+6,
( 23/12|  7/6 ), 1.91667, 1.16667,  4.73472,  6.06145,  137,        4+5,
( 37/12| -7/6 ), 3.08333,-1.16667,  7.61673,  1.06967,  137,        4+5,
(-23/12| 37/12),-1.91667, 3.08333, -4.73472,  6.06145,  137,        3+6,
(-37/12| 23/12),-3.08333, 1.91667, -7.61673,  1.06967,  137,        3+6,
(  7/6 |-37/12), 1.16667,-3.08333,  2.88201, -7.13112,  137,        1+2,
( -7/6 |-23/12),-1.16667,-1.91667, -2.88201, -7.13112,  137,        1+2,
(  7/6 | 23/12), 1.16667, 1.91667,  2.88201,  7.13112,  138,        1+2,
( -7/6 | 37/12),-1.16667, 3.08333, -2.88201,  7.13112,  138,        1+2,
( 37/12|-23/12), 3.08333,-1.91667,  7.61673, -1.06967,  138,        3+6,
( 23/12|-37/12), 1.91667,-3.08333,  4.73472, -6.06145,  138,        3+6,
(-37/12|  7/6 ),-3.08333, 1.16667, -7.61673, -1.06967,  138,        4+5,
(-23/12| -7/6 ),-1.91667,-1.16667, -4.73472, -6.06145,  138,        4+5,
( 19/12| 19/12), 1.58333, 1.58333,  3.91129,  6.77456,  139,        3+6,
( 19/6 |-19/12), 3.16667,-1.58333,  7.82259, -0.00000,  139,        1+2,
(-19/12| 19/6 ),-1.58333, 3.16667, -3.91129,  6.77456,  139,        4+5,
( 19/12|-19/6 ), 1.58333,-3.16667,  3.91129, -6.77456,  139,        4+5,
(-19/6 | 19/12),-3.16667, 1.58333, -7.82259,  0.00000,  139,        1+2,
(-19/12|-19/12),-1.58333,-1.58333, -3.91129, -6.77456,  139,        3+6,
( 11/12| 13/6 ), 0.91667, 2.16667,  2.26443,  7.48767,  140,        4+5,
(-11/12| 37/12),-0.91667, 3.08333, -2.26443,  7.48767,  140,        3+6,
( 37/12|-13/6 ), 3.08333,-2.16667,  7.61673, -1.78278,  140,        4+5,
( 13/6 |-37/12), 2.16667,-3.08333,  5.35230, -5.70489,  140,        1+2,
(-37/12| 11/12),-3.08333, 0.91667, -7.61673, -1.78278,  140,        3+6,
(-13/6 |-11/12),-2.16667,-0.91667, -5.35230, -5.70489,  140,        1+2,
( 13/6 | 11/12), 2.16667, 0.91667,  5.35230,  5.70489,  141,        1+2,
( 37/12|-11/12), 3.08333,-0.91667,  7.61673,  1.78278,  141,        3+6,
(-13/6 | 37/12),-2.16667, 3.08333, -5.35230,  5.70489,  141,        1+2,
(-37/12| 13/6 ),-3.08333, 2.16667, -7.61673,  1.78278,  141,        4+5,
( 11/12|-37/12), 0.91667,-3.08333,  2.26443, -7.48767,  141,        3+6,
(-11/12|-13/6 ),-0.91667,-2.16667, -2.26443, -7.48767,  141,        4+5,
(  8/3 |  1/6 ), 2.66667, 0.16667,  6.58744,  4.27867,  142,        1+2,
( 17/6 | -1/6 ), 2.83333,-0.16667,  6.99916,  3.56556,  142,        3+6,
( -8/3 | 17/6 ),-2.66667, 2.83333, -6.58744,  4.27867,  142,        1+2,
(-17/6 |  8/3 ),-2.83333, 2.66667, -6.99916,  3.56556,  142,        4+5,
(  1/6 |-17/6 ), 0.16667,-2.83333,  0.41172, -7.84423,  142,        3+6,
( -1/6 | -8/3 ),-0.16667,-2.66667, -0.41172, -7.84423,  142,        4+5,
( 11/6 |  4/3 ), 1.83333, 1.33333,  4.52887,  6.41800,  143,        4+5,
( 19/6 | -4/3 ), 3.16667,-1.33333,  7.82259,  0.71311,  143,        4+5,
(-11/6 | 19/6 ),-1.83333, 3.16667, -4.52887,  6.41800,  143,        3+6,
(-19/6 | 11/6 ),-3.16667, 1.83333, -7.82259,  0.71311,  143,        3+6,
(  4/3 |-19/6 ), 1.33333,-3.16667,  3.29372, -7.13112,  143,        1+2,
( -4/3 |-11/6 ),-1.33333,-1.83333, -3.29372, -7.13112,  143,        1+2,
(  4/3 | 11/6 ), 1.33333, 1.83333,  3.29372,  7.13112,  144,        1+2,
( -4/3 | 19/6 ),-1.33333, 3.16667, -3.29372,  7.13112,  144,        1+2,
( 19/6 |-11/6 ), 3.16667,-1.83333,  7.82259, -0.71311,  144,        3+6,
( 11/6 |-19/6 ), 1.83333,-3.16667,  4.52887, -6.41800,  144,        3+6,
(-19/6 |  4/3 ),-3.16667, 1.33333, -7.82259, -0.71311,  144,        4+5,
(-11/6 | -4/3 ),-1.83333,-1.33333, -4.52887, -6.41800,  144,        4+5,
(  1/6 |  8/3 ), 0.16667, 2.66667,  0.41172,  7.84423,  145,        4+5,
( -1/6 | 17/6 ),-0.16667, 2.83333, -0.41172,  7.84423,  145,        3+6,
( 17/6 | -8/3 ), 2.83333,-2.66667,  6.99916, -3.56556,  145,        4+5,
(  8/3 |-17/6 ), 2.66667,-2.83333,  6.58744, -4.27867,  145,        1+2,
(-17/6 |  1/6 ),-2.83333, 0.16667, -6.99916, -3.56556,  145,        3+6,
( -8/3 | -1/6 ),-2.66667,-0.16667, -6.58744, -4.27867,  145,        1+2,
(  1/2 |  5/2 ), 0.50000, 2.50000,  1.23515,  7.84423,  146,        3+6,
( -1/2 |  3   ),-0.50000, 3.00000, -1.23515,  7.84423,  146,        4+5,
(  3   | -5/2 ), 3.00000,-2.50000,  7.41087, -2.85245,  146,        1+2,
(  5/2 | -3   ), 2.50000,-3.00000,  6.17573, -4.99178,  146,        4+5,
( -3   |  1/2 ),-3.00000, 0.50000, -7.41087, -2.85245,  146,        1+2,
( -5/2 | -1/2 ),-2.50000,-0.50000, -6.17573, -4.99178,  146,        3+6,
(  5/2 |  1/2 ), 2.50000, 0.50000,  6.17573,  4.99178,  147,        3+6,
(  3   | -1/2 ), 3.00000,-0.50000,  7.41087,  2.85245,  147,        1+2,
( -5/2 |  3   ),-2.50000, 3.00000, -6.17573,  4.99178,  147,        4+5,
( -3   |  5/2 ),-3.00000, 2.50000, -7.41087,  2.85245,  147,        1+2,
(  1/2 | -3   ), 0.50000,-3.00000,  1.23515, -7.84423,  147,        4+5,
( -1/2 | -5/2 ),-0.50000,-2.50000, -1.23515, -7.84423,  147,        3+6,
( 25/12| 13/12), 2.08333, 1.08333,  5.14644,  6.06145,  148,        3+6,
( 19/6 |-13/12), 3.16667,-1.08333,  7.82259,  1.42622,  148,        1+2,
(-25/12| 19/6 ),-2.08333, 3.16667, -5.14644,  6.06145,  148,        4+5,
(-19/6 | 25/12),-3.16667, 2.08333, -7.82259,  1.42622,  148,        1+2,
( 13/12|-19/6 ), 1.08333,-3.16667,  2.67615, -7.48767,  148,        4+5,
(-13/12|-25/12),-1.08333,-2.08333, -2.67615, -7.48767,  148,        3+6,
( 13/12| 25/12), 1.08333, 2.08333,  2.67615,  7.48767,  149,        3+6,
(-13/12| 19/6 ),-1.08333, 3.16667, -2.67615,  7.48767,  149,        4+5,
( 19/6 |-25/12), 3.16667,-2.08333,  7.82259, -1.42622,  149,        1+2,
( 25/12|-19/6 ), 2.08333,-3.16667,  5.14644, -6.06145,  149,        4+5,
(-19/6 | 13/12),-3.16667, 1.08333, -7.82259, -1.42622,  149,        1+2,
(-25/12|-13/12),-2.08333,-1.08333, -5.14644, -6.06145,  149,        3+6,
(  7/4 |  3/2 ), 1.75000, 1.50000,  4.32301,  6.77456,  150,        4+5,
( 13/4 | -3/2 ), 3.25000,-1.50000,  8.02845,  0.35656,  150,        4+5,
( -7/4 | 13/4 ),-1.75000, 3.25000, -4.32301,  6.77456,  150,        3+6,
(-13/4 |  7/4 ),-3.25000, 1.75000, -8.02845,  0.35656,  150,        3+6,
(  3/2 |-13/4 ), 1.50000,-3.25000,  3.70544, -7.13112,  150,        1+2,
( -3/2 | -7/4 ),-1.50000,-1.75000, -3.70544, -7.13112,  150,        1+2,
(  3/2 |  7/4 ), 1.50000, 1.75000,  3.70544,  7.13112,  151,        1+2,
( -3/2 | 13/4 ),-1.50000, 3.25000, -3.70544,  7.13112,  151,        1+2,
( 13/4 | -7/4 ), 3.25000,-1.75000,  8.02845, -0.35656,  151,        3+6,
(  7/4 |-13/4 ), 1.75000,-3.25000,  4.32301, -6.77456,  151,        3+6,
(-13/4 |  3/2 ),-3.25000, 1.50000, -8.02845, -0.35656,  151,        4+5,
( -7/4 | -3/2 ),-1.75000,-1.50000, -4.32301, -6.77456,  151,        4+5,
(  5/6 |  7/3 ), 0.83333, 2.33333,  2.05858,  7.84423,  152,        4+5,
( -5/6 | 19/6 ),-0.83333, 3.16667, -2.05858,  7.84423,  152,        3+6,
( 19/6 | -7/3 ), 3.16667,-2.33333,  7.82259, -2.13933,  152,        4+5,
(  7/3 |-19/6 ), 2.33333,-3.16667,  5.76401, -5.70489,  152,        1+2,
(-19/6 |  5/6 ),-3.16667, 0.83333, -7.82259, -2.13933,  152,        3+6,
( -7/3 | -5/6 ),-2.33333,-0.83333, -5.76401, -5.70489,  152,        1+2,
(  7/3 |  5/6 ), 2.33333, 0.83333,  5.76401,  5.70489,  153,        1+2,
( 19/6 | -5/6 ), 3.16667,-0.83333,  7.82259,  2.13933,  153,        3+6,
( -7/3 | 19/6 ),-2.33333, 3.16667, -5.76401,  5.70489,  153,        1+2,
(-19/6 |  7/3 ),-3.16667, 2.33333, -7.82259,  2.13933,  153,        4+5,
(  5/6 |-19/6 ), 0.83333,-3.16667,  2.05858, -7.84423,  153,        3+6,
( -5/6 | -7/3 ),-0.83333,-2.33333, -2.05858, -7.84423,  153,        4+5,
(  1/12| 17/6 ), 0.08333, 2.83333,  0.20586,  8.20078,  154,        4+5,
( -1/12| 35/12),-0.08333, 2.91667, -0.20586,  8.20078,  154,        3+6,
( 35/12|-17/6 ), 2.91667,-2.83333,  7.20502, -3.92211,  154,        4+5,
( 17/6 |-35/12), 2.83333,-2.91667,  6.99916, -4.27867,  154,        1+2,
(-35/12|  1/12),-2.91667, 0.08333, -7.20502, -3.92211,  154,        3+6,
(-17/6 | -1/12),-2.83333,-0.08333, -6.99916, -4.27867,  154,        1+2,
( 17/6 |  1/12), 2.83333, 0.08333,  6.99916,  4.27867,  155,        1+2,
( 35/12| -1/12), 2.91667,-0.08333,  7.20502,  3.92211,  155,        3+6,
(-17/6 | 35/12),-2.83333, 2.91667, -6.99916,  4.27867,  155,        1+2,
(-35/12| 17/6 ),-2.91667, 2.83333, -7.20502,  3.92211,  155,        4+5,
(  1/12|-35/12), 0.08333,-2.91667,  0.20586, -8.20078,  155,        3+6,
( -1/12|-17/6 ),-0.08333,-2.83333, -0.20586, -8.20078,  155,        4+5,
(  5/3 |  5/3 ), 1.66667, 1.66667,  4.11715,  7.13112,  156,1+2+3+4+5+6,
( 10/3 | -5/3 ), 3.33333,-1.66667,  8.23430, -0.00000,  156,1+2+3+4+5+6,
( -5/3 | 10/3 ),-1.66667, 3.33333, -4.11715,  7.13112,  156,1+2+3+4+5+6,
(  5/3 |-10/3 ), 1.66667,-3.33333,  4.11715, -7.13112,  156,1+2+3+4+5+6,
(-10/3 |  5/3 ),-3.33333, 1.66667, -8.23430,  0.00000,  156,1+2+3+4+5+6,
( -5/3 | -5/3 ),-1.66667,-1.66667, -4.11715, -7.13112,  156,1+2+3+4+5+6,
(  7/12| 31/12), 0.58333, 2.58333,  1.44100,  8.20078,  157,        3+6,
( -7/12| 19/6 ),-0.58333, 3.16667, -1.44100,  8.20078,  157,        4+5,
( 19/6 |-31/12), 3.16667,-2.58333,  7.82259, -2.85245,  157,        1+2,
( 31/12|-19/6 ), 2.58333,-3.16667,  6.38159, -5.34834,  157,        4+5,
(-19/6 |  7/12),-3.16667, 0.58333, -7.82259, -2.85245,  157,        1+2,
(-31/12| -7/12),-2.58333,-0.58333, -6.38159, -5.34834,  157,        3+6,
( 31/12|  7/12), 2.58333, 0.58333,  6.38159,  5.34834,  158,        3+6,
( 19/6 | -7/12), 3.16667,-0.58333,  7.82259,  2.85245,  158,        1+2,
(-31/12| 19/6 ),-2.58333, 3.16667, -6.38159,  5.34834,  158,        4+5,
(-19/6 | 31/12),-3.16667, 2.58333, -7.82259,  2.85245,  158,        1+2,
(  7/12|-19/6 ), 0.58333,-3.16667,  1.44100, -8.20078,  158,        4+5,
( -7/12|-31/12),-0.58333,-2.58333, -1.44100, -8.20078,  158,        3+6,
(  7/6 | 13/6 ), 1.16667, 2.16667,  2.88201,  7.84423,  159,        3+6,
( -7/6 | 10/3 ),-1.16667, 3.33333, -2.88201,  7.84423,  159,        4+5,
( 10/3 |-13/6 ), 3.33333,-2.16667,  8.23430, -1.42622,  159,        1+2,
( 13/6 |-10/3 ), 2.16667,-3.33333,  5.35230, -6.41800,  159,        4+5,
(-10/3 |  7/6 ),-3.33333, 1.16667, -8.23430, -1.42622,  159,        1+2,
(-13/6 | -7/6 ),-2.16667,-1.16667, -5.35230, -6.41800,  159,        3+6,
( 13/6 |  7/6 ), 2.16667, 1.16667,  5.35230,  6.41800,  160,        3+6,
( 10/3 | -7/6 ), 3.33333,-1.16667,  8.23430,  1.42622,  160,        1+2,
(-13/6 | 10/3 ),-2.16667, 3.33333, -5.35230,  6.41800,  160,        4+5,
(-10/3 | 13/6 ),-3.33333, 2.16667, -8.23430,  1.42622,  160,        1+2,
(  7/6 |-10/3 ), 1.16667,-3.33333,  2.88201, -7.84423,  160,        4+5,
( -7/6 |-13/6 ),-1.16667,-2.16667, -2.88201, -7.84423,  160,        3+6,
(  3/4 |  5/2 ), 0.75000, 2.50000,  1.85272,  8.20078,  161,        4+5,
( -3/4 | 13/4 ),-0.75000, 3.25000, -1.85272,  8.20078,  161,        3+6,
( 13/4 | -5/2 ), 3.25000,-2.50000,  8.02845, -2.49589,  161,        4+5,
(  5/2 |-13/4 ), 2.50000,-3.25000,  6.17573, -5.70489,  161,        1+2,
(-13/4 |  3/4 ),-3.25000, 0.75000, -8.02845, -2.49589,  161,        3+6,
( -5/2 | -3/4 ),-2.50000,-0.75000, -6.17573, -5.70489,  161,        1+2,
(  5/2 |  3/4 ), 2.50000, 0.75000,  6.17573,  5.70489,  162,        1+2,
( 13/4 | -3/4 ), 3.25000,-0.75000,  8.02845,  2.49589,  162,        3+6,
( -5/2 | 13/4 ),-2.50000, 3.25000, -6.17573,  5.70489,  162,        1+2,
(-13/4 |  5/2 ),-3.25000, 2.50000, -8.02845,  2.49589,  162,        4+5,
(  3/4 |-13/4 ), 0.75000,-3.25000,  1.85272, -8.20078,  162,        3+6,
( -3/4 | -5/2 ),-0.75000,-2.50000, -1.85272, -8.20078,  162,        4+5,
( 19/12| 11/6 ), 1.58333, 1.83333,  3.91129,  7.48767,  163,        4+5,
(-19/12| 41/12),-1.58333, 3.41667, -3.91129,  7.48767,  163,        3+6,
( 41/12|-11/6 ), 3.41667,-1.83333,  8.44016, -0.35656,  163,        4+5,
( 11/6 |-41/12), 1.83333,-3.41667,  4.52887, -7.13112,  163,        1+2,
(-41/12| 19/12),-3.41667, 1.58333, -8.44016, -0.35656,  163,        3+6,
(-11/6 |-19/12),-1.83333,-1.58333, -4.52887, -7.13112,  163,        1+2,
( 11/6 | 19/12), 1.83333, 1.58333,  4.52887,  7.13112,  164,        1+2,
( 41/12|-19/12), 3.41667,-1.58333,  8.44016,  0.35656,  164,        3+6,
(-11/6 | 41/12),-1.83333, 3.41667, -4.52887,  7.13112,  164,        1+2,
(-41/12| 11/6 ),-3.41667, 1.83333, -8.44016,  0.35656,  164,        4+5,
( 19/12|-41/12), 1.58333,-3.41667,  3.91129, -7.48767,  164,        3+6,
(-19/12|-11/6 ),-1.58333,-1.83333, -3.91129, -7.48767,  164,        4+5,
(  0   |  3   ), 0.00000, 3.00000,  0.00000,  8.55734,  165,1+2+3+4+5+6,
(  3   | -3   ), 3.00000,-3.00000,  7.41087, -4.27867,  165,1+2+3+4+5+6,
( -3   |  0   ),-3.00000, 0.00000, -7.41087, -4.27867,  165,1+2+3+4+5+6,
(  3   |  0   ), 3.00000, 0.00000,  7.41087,  4.27867,  166,1+2+3+4+5+6,
( -3   |  3   ),-3.00000, 3.00000, -7.41087,  4.27867,  166,1+2+3+4+5+6,
(  0   | -3   ), 0.00000,-3.00000,  0.00000, -8.55734,  166,1+2+3+4+5+6,
( 35/12|  1/6 ), 2.91667, 0.16667,  7.20502,  4.63523,  167,        4+5,
( 37/12| -1/6 ), 3.08333,-0.16667,  7.61673,  3.92211,  167,        4+5,
(-35/12| 37/12),-2.91667, 3.08333, -7.20502,  4.63523,  167,        3+6,
(-37/12| 35/12),-3.08333, 2.91667, -7.61673,  3.92211,  167,        3+6,
(  1/6 |-37/12), 0.16667,-3.08333,  0.41172, -8.55734,  167,        1+2,
( -1/6 |-35/12),-0.16667,-2.91667, -0.41172, -8.55734,  167,        1+2,
(  1/6 | 35/12), 0.16667, 2.91667,  0.41172,  8.55734,  168,        1+2,
( -1/6 | 37/12),-0.16667, 3.08333, -0.41172,  8.55734,  168,        1+2,
( 37/12|-35/12), 3.08333,-2.91667,  7.61673, -3.92211,  168,        3+6,
( 35/12|-37/12), 2.91667,-3.08333,  7.20502, -4.63523,  168,        3+6,
(-37/12|  1/6 ),-3.08333, 0.16667, -7.61673, -3.92211,  168,        4+5,
(-35/12| -1/6 ),-2.91667,-0.16667, -7.20502, -4.63523,  168,        4+5,
( 17/6 |  1/3 ), 2.83333, 0.33333,  6.99916,  4.99178,  169,        4+5,
( 19/6 | -1/3 ), 3.16667,-0.33333,  7.82259,  3.56556,  169,        4+5,
(-17/6 | 19/6 ),-2.83333, 3.16667, -6.99916,  4.99178,  169,        3+6,
(-19/6 | 17/6 ),-3.16667, 2.83333, -7.82259,  3.56556,  169,        3+6,
(  1/3 |-19/6 ), 0.33333,-3.16667,  0.82343, -8.55734,  169,        1+2,
( -1/3 |-17/6 ),-0.33333,-2.83333, -0.82343, -8.55734,  169,        1+2,
(  1/3 | 17/6 ), 0.33333, 2.83333,  0.82343,  8.55734,  170,        1+2,
( -1/3 | 19/6 ),-0.33333, 3.16667, -0.82343,  8.55734,  170,        1+2,
( 19/6 |-17/6 ), 3.16667,-2.83333,  7.82259, -3.56556,  170,        3+6,
( 17/6 |-19/6 ), 2.83333,-3.16667,  6.99916, -4.99178,  170,        3+6,
(-19/6 |  1/3 ),-3.16667, 0.33333, -7.82259, -3.56556,  170,        4+5,
(-17/6 | -1/3 ),-2.83333,-0.33333, -6.99916, -4.99178,  170,        4+5,
(  7/4 |  7/4 ), 1.75000, 1.75000,  4.32301,  7.48767,  171,        3+6,
(  7/2 | -7/4 ), 3.50000,-1.75000,  8.64602, -0.00000,  171,        1+2,
( -7/4 |  7/2 ),-1.75000, 3.50000, -4.32301,  7.48767,  171,        4+5,
(  7/4 | -7/2 ), 1.75000,-3.50000,  4.32301, -7.48767,  171,        4+5,
( -7/2 |  7/4 ),-3.50000, 1.75000, -8.64602,  0.00000,  171,        1+2,
( -7/4 | -7/4 ),-1.75000,-1.75000, -4.32301, -7.48767,  171,        3+6,
( 11/4 |  1/2 ), 2.75000, 0.50000,  6.79330,  5.34834,  172,        4+5,
( 13/4 | -1/2 ), 3.25000,-0.50000,  8.02845,  3.20900,  172,        4+5,
(-11/4 | 13/4 ),-2.75000, 3.25000, -6.79330,  5.34834,  172,        3+6,
(-13/4 | 11/4 ),-3.25000, 2.75000, -8.02845,  3.20900,  172,        3+6,
(  1/2 |-13/4 ), 0.50000,-3.25000,  1.23515, -8.55734,  172,        1+2,
( -1/2 |-11/4 ),-0.50000,-2.75000, -1.23515, -8.55734,  172,        1+2,
(  1/2 | 11/4 ), 0.50000, 2.75000,  1.23515,  8.55734,  173,        1+2,
( -1/2 | 13/4 ),-0.50000, 3.25000, -1.23515,  8.55734,  173,        1+2,
( 13/4 |-11/4 ), 3.25000,-2.75000,  8.02845, -3.20900,  173,        3+6,
( 11/4 |-13/4 ), 2.75000,-3.25000,  6.79330, -5.34834,  173,        3+6,
(-13/4 |  1/2 ),-3.25000, 0.50000, -8.02845, -3.20900,  173,        4+5,
(-11/4 | -1/2 ),-2.75000,-0.50000, -6.79330, -5.34834,  173,        4+5,
(  2   |  3/2 ), 2.00000, 1.50000,  4.94058,  7.13112,  174,        1+2,
(  7/2 | -3/2 ), 3.50000,-1.50000,  8.64602,  0.71311,  174,        3+6,
( -2   |  7/2 ),-2.00000, 3.50000, -4.94058,  7.13112,  174,        1+2,
( -7/2 |  2   ),-3.50000, 2.00000, -8.64602,  0.71311,  174,        4+5,
(  3/2 | -7/2 ), 1.50000,-3.50000,  3.70544, -7.84423,  174,        3+6,
( -3/2 | -2   ),-1.50000,-2.00000, -3.70544, -7.84423,  174,        4+5,
(  3/2 |  2   ), 1.50000, 2.00000,  3.70544,  7.84423,  175,        4+5,
( -3/2 |  7/2 ),-1.50000, 3.50000, -3.70544,  7.84423,  175,        3+6,
(  7/2 | -2   ), 3.50000,-2.00000,  8.64602, -0.71311,  175,        4+5,
(  2   | -7/2 ), 2.00000,-3.50000,  4.94058, -7.13112,  175,        1+2,
( -7/2 |  3/2 ),-3.50000, 1.50000, -8.64602, -0.71311,  175,        3+6,
( -2   | -3/2 ),-2.00000,-1.50000, -4.94058, -7.13112,  175,        1+2,
(  8/3 |  2/3 ), 2.66667, 0.66667,  6.58744,  5.70489,  176,1+2+3+4+5+6,
( 10/3 | -2/3 ), 3.33333,-0.66667,  8.23430,  2.85245,  176,1+2+3+4+5+6,
( -8/3 | 10/3 ),-2.66667, 3.33333, -6.58744,  5.70489,  176,1+2+3+4+5+6,
(-10/3 |  8/3 ),-3.33333, 2.66667, -8.23430,  2.85245,  176,1+2+3+4+5+6,
(  2/3 |-10/3 ), 0.66667,-3.33333,  1.64686, -8.55734,  176,1+2+3+4+5+6,
( -2/3 | -8/3 ),-0.66667,-2.66667, -1.64686, -8.55734,  176,1+2+3+4+5+6,
(  2/3 |  8/3 ), 0.66667, 2.66667,  1.64686,  8.55734,  177,1+2+3+4+5+6,
( -2/3 | 10/3 ),-0.66667, 3.33333, -1.64686,  8.55734,  177,1+2+3+4+5+6,
( 10/3 | -8/3 ), 3.33333,-2.66667,  8.23430, -2.85245,  177,1+2+3+4+5+6,
(  8/3 |-10/3 ), 2.66667,-3.33333,  6.58744, -5.70489,  177,1+2+3+4+5+6,
(-10/3 |  2/3 ),-3.33333, 0.66667, -8.23430, -2.85245,  177,1+2+3+4+5+6,
( -8/3 | -2/3 ),-2.66667,-0.66667, -6.58744, -5.70489,  177,1+2+3+4+5+6,
(  5/4 |  9/4 ), 1.25000, 2.25000,  3.08786,  8.20078,  178,        3+6,
( -5/4 |  7/2 ),-1.25000, 3.50000, -3.08786,  8.20078,  178,        4+5,
(  7/2 | -9/4 ), 3.50000,-2.25000,  8.64602, -1.42622,  178,        1+2,
(  9/4 | -7/2 ), 2.25000,-3.50000,  5.55815, -6.77456,  178,        4+5,
( -7/2 |  5/4 ),-3.50000, 1.25000, -8.64602, -1.42622,  178,        1+2,
