frame_time (ms)    exposure (ms)       time for 20 frames (s)
-------------------------------------------------------------
      31              100                  2.294994178
	1000              100                 20.112630548
	 100              100                  2.295323698
	 200              100                  4.113450502

################################   CONTINUOUS  ################################

exposure (ms) | size (px x px) | average frame time (ms) | extra time 1st (ms)
    2000      |   992 x 1536   |  2039.7663671666664     |   34.3147316666727
    2000      |   896 x 1536   |  2039.7960366666666     |   27.1045326666717
    2000      |   704 x 1536   |  2039.8032657222222     |   12.6919515555564
    2000      |   528 x 1536   |  2039.8280479999999     |   -0.5769369999907
    2000      |   528 x 1400   |  2039.8368857222222     |   -4.4711564444515
    2000      |   528 x 1200   |  2039.8305934444443     |   -9.1077858888893
    2000      |   528 x 1000   |  2039.8467619444443     |  -14.3490458888846
    2000      |   528 x  700   |  2039.8545407777779     |  -22.0726075555504
    2000      |   528 x  500   |  2039.8656796111111     |  -27.1960452222193
    2000      |   528 x  300   |  2039.8742322222217     |  -32.6005804444358
    2000      |   528 x  100   |  2039.8703021111111     |  -37.1653272222175
    2000      |   528 x    4   |  2039.8859615555557     |  -38.9234231111113




CONCLUSIONS:
* continuous mode yields more accurate times per frame than triggered mode,
  especially at large exposure times (>150ms / frame).
* However, continuous mode reproducibly takes significantly longer to deliver
  the first frame, at least as long as the exposure time, and up to 150ms more.
* This means that it is worth using continuous mode only when n_frames is large
  enough to compensate for the extra times:
  
  dt_trigger = (E + d_tr_1)*n_frames + d_tr_0
  dt_cont = (E + d_co_1)*n_frames + E + d_co_0
  
  Trig_minus_Cont = (d_tr_1 - d_co_1)*n_frames + d_tr_0 - E - d_co_0
  
  It is thus convenient to use triggered if:
     (d_tr_1 - d_co_1)*n_frames < E + d_co_0 - d_tr_0
  i.e.,
     if n_frames < (E + d_co_0 - d_tr_0) / (d_tr_1 - d_co_1)
  
  d_tr_1 - d_co_1 < 5ms/frame below 300ms exposure; 40ms/frame @2000ms
  
--> With DMK 33GX265, it looks like TRIGGERED BURST is always more convenient
    in terms of total time required (at least if <= ~30--50 frames). However,
	for very short exposures there is a limit on the number of frames that can
	be delivered with one trigger burst.
	
#######################  MAX NO. TRIGGER BURST FRAMES  ########################
It seems that the max no of frames may also be related to whether the PC is
busy while frames are being delivered, and appears to be related to the
Ethernet port/adapter: my on-board Ethernet seems to deliver more frames than
when using the USB/Ethernet adapter, but it fails more often to deliver any
frame. Also, timings are awful with my on-board Ethernet, and using it clogs
the CPU. This is most likely an issue with my drivers.

exposure (ms) | size (px x px) |   n_max (USB)   |
--------------------------------------------------
       5      |  2048 x 1536   |        70       |
       5      |  1808 x 1536   |                 |
       5      |  1536 x 1536   |        69       |
       5      |  1200 x 1536   |                 |
       5      |   896 x 1536   |        67       |
       5      |   528 x 1536   |        65       |
       5      |   528 x 1400   |                 |
       5      |   528 x 1000   |        61       |
       5      |   528 x  700   |                 |
       5      |   528 x  500   |        82       |
