energy,(0|-1) [-1],(0|1) [-2],(1|0) [3],(1|-1) [4],(1|1) [5],(0|-2) [6],(0|2) [7],(2|0) [8],(1|-2) [9],(1|2) [10],(2|-1) [11],(2|1) [12],(2|-2) [13],(2|2) [14],(0|-3) [-15],(1|-3) [17],(1|3) [18],(3|0) [19],(3|-1) [20],(3|1) [21],(2|-3) [22],(2|3) [23],(3|-2) [24],(3|2) [25],(0|-4) [26],(0|4) [27],(1|-4) [28],(1|4) [29],(4|0) [30],(3|-3) [31],(3|3) [32],(4|-1) [33],(4|1) [34],(2|4) [36],(4|2) [38],(1|5) [42],(4|-3) [45],(4|3) [46],(4|4) [55],(3|5) [57],(0|-6) [58],
496.50,NaN,NaN,NaN,21.10091,NaN,18.207886,11.591687,17.98434,NaN,4.147333,7.2550187,NaN,2.1424572,14.241146,NaN,13.872527,45.350925,0.22956708,5.7272587,42.160233,14.664762,NaN,4.3334427,1.6224828,8.54867,9.220523,0.6916585,4.9491563,2.9787507,8.214096,18.9854,2.0846741,2.9731402,9.214067,3.0392048,NaN,NaN,NaN,NaN,NaN,NaN,
497.00,NaN,NaN,NaN,20.872675,NaN,17.672382,10.558766,17.401823,NaN,4.3251615,8.037478,NaN,2.07957,13.272878,NaN,13.041865,43.857105,0.21358722,5.262499,41.728073,14.561427,NaN,4.3462663,1.4877645,8.607836,8.302235,0.70447224,4.62397,3.3629572,7.560242,19.167694,1.9272649,2.9086137,9.082652,2.8079526,NaN,NaN,NaN,NaN,NaN,NaN,
497.50,NaN,NaN,NaN,20.569538,NaN,17.147606,9.660776,16.859367,NaN,4.5118656,8.879677,NaN,2.1004796,12.491211,NaN,12.2046385,42.271202,0.21486033,4.809355,41.208138,14.359842,NaN,4.3429265,NaN,8.755301,7.500057,0.72769517,4.2855783,3.7789638,6.919661,19.408073,1.7935114,2.886531,8.965241,2.590449,NaN,NaN,NaN,NaN,NaN,NaN,
498.00,NaN,NaN,NaN,20.193537,NaN,16.658329,8.88815,16.349121,NaN,4.7146006,9.791212,NaN,2.2028387,11.879865,NaN,11.365367,40.628815,0.23322651,4.376971,40.568863,14.070262,NaN,4.3210616,NaN,8.983697,6.8167496,0.7615714,3.946238,4.228504,6.3025064,19.717459,1.687978,2.9061728,8.858418,2.3882594,NaN,NaN,NaN,NaN,NaN,NaN,
498.50,NaN,NaN,NaN,19.753054,NaN,16.224676,8.227103,15.863151,NaN,4.9408216,10.781753,NaN,2.3817203,11.416914,NaN,10.528745,38.96161,0.26852694,3.9728544,39.78409,13.703027,NaN,4.279798,NaN,9.278179,6.2478733,0.8057297,3.6160436,4.716981,5.7158484,20.10229,1.6160818,2.9665537,8.758014,2.2020402,NaN,NaN,NaN,NaN,NaN,NaN,
499.00,NaN,NaN,NaN,19.26218,NaN,15.8593645,7.659894,15.393665,NaN,5.197633,11.858393,NaN,2.6297374,11.078461,NaN,9.699317,37.295856,0.32061547,3.6027746,38.834904,13.2678175,NaN,4.2198076,NaN,9.617517,5.7831264,0.8592525,3.302393,5.2528243,5.1634603,20.56405,1.5837327,3.066489,8.659191,2.0317173,NaN,NaN,NaN,NaN,NaN,NaN,
499.50,NaN,NaN,NaN,18.740553,NaN,15.56619,7.1659174,14.933549,NaN,5.4912686,13.022672,NaN,2.9372108,10.842086,NaN,8.8814125,35.65168,0.38935065,3.2708502,37.711056,12.773212,NaN,4.1432037,NaN,9.975786,5.408224,0.92089593,3.009856,5.84623,4.646073,21.099882,1.5967016,3.204652,8.556604,1.8767059,NaN,NaN,NaN,NaN,NaN,NaN,
500.00,NaN,NaN,NaN,18.212538,NaN,15.340023,6.7234645,14.477098,NaN,5.826621,14.2677355,NaN,3.2924113,10.689941,NaN,8.079351,34.043022,0.47458696,2.9797728,36.411816,12.226582,NaN,4.053302,NaN,10.324524,5.106896,0.9894659,2.740395,6.507474,4.162039,21.704115,1.6598107,3.3795972,8.444623,1.736144,NaN,NaN,NaN,NaN,NaN,NaN,
500.50,NaN,NaN,NaN,17.704748,NaN,15.168219,NaN,14.020813,NaN,6.206725,15.576146,NaN,3.6819,10.611038,NaN,7.29781,32.478355,0.5761731,2.7310739,34.94618,11.634315,NaN,3.9542763,NaN,10.635149,4.862646,1.0643185,2.4938502,7.2450476,3.7082684,22.370436,1.7760696,3.5897257,8.317614,1.6091099,NaN,NaN,NaN,NaN,NaN,NaN,
501.00,NaN,NaN,NaN,17.241901,NaN,15.033111,NaN,13.563989,NaN,6.6322436,16.91887,NaN,4.0910087,10.602155,NaN,6.5422025,30.96198,0.6939725,2.5253782,33.332317,11.002306,NaN,3.8507507,NaN,10.881414,4.6600275,1.1459106,2.2685723,8.063856,3.2812698,23.094126,1.9458982,3.8331861,8.170268,1.4948014,NaN,NaN,NaN,NaN,NaN,NaN,
