# This file was automatically generated by TLEEDMAP v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/00 - GUI/leedTaS2.tlm
#
# Structure: TaS2-(r13xr13)R13.9° - all domains
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Hexagonal (p6m); a = 3.3540 AA; alpha = 120.00 deg
#        Basis: a = [ 3.3540 -0.0000]; b = [-1.6770  2.9046]
# Surface lattice: Hexagonal (p3); a = 12.0930 AA; alpha = 120.00 deg
#
# Exporting beams from 2 domain(s) out of 2 symmetry-equivalent ones
# Domain 1 - Basis: a = [11.7390  2.9046]; b = [-8.3850  8.7139]
#            Superlattice: [[ 4  1] [-1  3]]
# Domain 2 - Basis: a = [11.7390 -2.9046]; b = [-8.3850 -8.7139]
#            Superlattice: [[ 3 -1] [-4 -3]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(   h  |   k  ),    h   ,    k   ,    gx   ,    gy   ,group,domain(s),
(-15/13| -5/13),-1.15385,-0.38462, -2.16155, -2.07995,   58,        1,
( -5/13| 20/13),-0.38462, 1.53846, -0.72052,  2.91193,   58,        1,
( 20/13|-15/13), 1.53846,-1.15385,  2.88206, -0.83198,   58,        1,
(-21/13| 15/13),-1.61538, 1.15385, -3.02617,  0.74878,   59,        2,
( 15/13|  6/13), 1.15385, 0.46154,  2.16155,  2.24635,   59,        2,
(  6/13|-21/13), 0.46154,-1.61538,  0.86462, -2.99513,   59,        2,
(-21/13|  6/13),-1.61538, 0.46154, -3.02617, -0.74878,   60,        1,
( 15/13|-21/13), 1.15385,-1.61538,  2.16155, -2.24635,   60,        1,
(  6/13| 15/13), 0.46154, 1.15385,  0.86462,  2.99513,   60,        1,
(-15/13| 21/13),-1.15385, 1.61538, -2.16155,  2.24635,   61,        1,
( -6/13|-15/13),-0.46154,-1.15385, -0.86462, -2.99513,   61,        1,
( 21/13| -6/13), 1.61538,-0.46154,  3.02617,  0.74878,   61,        1,
(-15/13| -6/13),-1.15385,-0.46154, -2.16155, -2.24635,   62,        2,
( -6/13| 21/13),-0.46154, 1.61538, -0.86462,  2.99513,   62,        2,
( 21/13|-15/13), 1.61538,-1.15385,  3.02617, -0.74878,   62,        2,
(-22/13| 12/13),-1.69231, 0.92308, -3.17027,  0.16640,   63,        2,
( 10/13|-22/13), 0.76923,-1.69231,  1.44103, -2.82873,   63,        2,
( 12/13| 10/13), 0.92308, 0.76923,  1.72924,  2.66234,   63,        2,
(-20/13| 18/13),-1.53846, 1.38462, -2.88206,  1.33117,   64,        2,
( 18/13|  2/13), 1.38462, 0.15385,  2.59386,  1.83036,   64,        2,
(  2/13|-20/13), 0.15385,-1.53846,  0.28821, -3.16152,   64,        2,
(-22/13| 10/13),-1.69231, 0.76923, -3.17027, -0.16640,   65,        1,
( 10/13| 12/13), 0.76923, 0.92308,  1.44103,  2.82873,   65,        1,
( 12/13|-22/13), 0.92308,-1.69231,  1.72924, -2.66234,   65,        1,
(-18/13| 20/13),-1.38462, 1.53846, -2.59386,  1.83036,   66,        1,
( -2/13|-18/13),-0.15385,-1.38462, -0.28821, -3.16152,   66,        1,
( 20/13| -2/13), 1.53846,-0.15385,  2.88206,  1.33117,   66,        1,
(-20/13|  2/13),-1.53846, 0.15385, -2.88206, -1.33117,   67,        1,
( 18/13|-20/13), 1.38462,-1.53846,  2.59386, -1.83036,   67,        1,
(  2/13| 18/13), 0.15385, 1.38462,  0.28821,  3.16152,   67,        1,
