# This file was automatically generated by TLEEDMAP v.0.1a.
#
# Structure: tst
#
# Max. LEED Energy: 500.0 eV
# Bulk lattice: Hexagonal (p3m1); a = 2.5500 AA; alpha = 120.00 deg
#        Basis: a = [ 1.2750 -2.2083]; b = [1.2750 2.2083]
# Surface lattice: Rectangular (pg[0 1]); a = 7.6500 AA; b = 4.4167 AA
#
# Exporting beams from 3 domain(s) out of 3 symmetry-equivalent ones
# Domain 1 - Basis: a = [7.6500 0.0000]; b = [0.0000 4.4167]
#            Superlattice: [[ 3  3] [-1  1]]
# Domain 2 - Basis: a = [3.8250 6.6250]; b = [ 3.8250 -2.2083]
#            Superlattice: [[0 3] [2 1]]
# Domain 3 - Basis: a = [ 3.8250 -6.6250]; b = [-3.8250 -2.2083]
#            Superlattice: [[ 3  0] [-1 -2]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(   h |   k ),    h   ,    k   ,    gx   ,    gy   ,group,domain(s),
( -7/3|  7/6),-2.33333, 1.16667, -2.87466,  4.97909,   35,        3,
( -7/6| -7/6),-1.16667,-1.16667, -5.74932,  0.00000,   35,        1,
( -7/6|  7/3),-1.16667, 2.33333,  2.87466,  4.97909,   35,        2,
(  7/3| -7/6), 2.33333,-1.16667,  2.87466, -4.97909,   35,        3,
(  7/6| -7/3), 1.16667,-2.33333, -2.87466, -4.97909,   35,        2,
(  7/6|  7/6), 1.16667, 1.16667,  5.74932, -0.00000,   35,        1,
( -2/3| -5/3),-0.66667,-1.66667, -5.74932, -1.42260,   36,    1+2+3,
( -5/3|  7/3),-1.66667, 2.33333,  1.64266,  5.69039,   36,    1+2+3,
( -7/3|  5/3),-2.33333, 1.66667, -1.64266,  5.69039,   36,    1+2+3,
(  2/3| -7/3), 0.66667,-2.33333, -4.10666, -4.26779,   36,    1+2+3,
(  5/3|  2/3), 1.66667, 0.66667,  5.74932, -1.42260,   36,    1+2+3,
(  7/3| -2/3), 2.33333,-0.66667,  4.10666, -4.26779,   36,    1+2+3,
( -2/3|  7/3),-0.66667, 2.33333,  4.10666,  4.26779,   37,    1+2+3,
( -5/3| -2/3),-1.66667,-0.66667, -5.74932,  1.42260,   37,    1+2+3,
( -7/3|  2/3),-2.33333, 0.66667, -4.10666,  4.26779,   37,    1+2+3,
(  2/3|  5/3), 0.66667, 1.66667,  5.74932,  1.42260,   37,    1+2+3,
(  5/3| -7/3), 1.66667,-2.33333, -1.64266, -5.69039,   37,    1+2+3,
(  7/3| -5/3), 2.33333,-1.66667,  1.64266, -5.69039,   37,    1+2+3,
( -1  | -3/2),-1.00000,-1.50000, -6.15999, -0.71130,   38,        3,
( -3/2|  5/2),-1.50000, 2.50000,  2.46399,  5.69039,   38,        1,
( -5/2|  3/2),-2.50000, 1.50000, -2.46399,  5.69039,   38,        1,
(  1  | -5/2), 1.00000,-2.50000, -3.69599, -4.97909,   38,        3,
(  3/2|  1  ), 1.50000, 1.00000,  6.15999, -0.71130,   38,        2,
(  5/2| -1  ), 2.50000,-1.00000,  3.69599, -4.97909,   38,        2,
( -1  |  5/2),-1.00000, 2.50000,  3.69599,  4.97909,   39,        3,
( -3/2| -1  ),-1.50000,-1.00000, -6.15999,  0.71130,   39,        2,
( -5/2|  1  ),-2.50000, 1.00000, -3.69599,  4.97909,   39,        2,
(  1  |  3/2), 1.00000, 1.50000,  6.15999,  0.71130,   39,        3,
(  3/2| -5/2), 1.50000,-2.50000, -2.46399, -5.69039,   39,        1,
(  5/2| -3/2), 2.50000,-1.50000,  2.46399, -5.69039,   39,        1,
( -1/6|-13/6),-0.16667,-2.16667, -5.74932, -2.84519,   40,        1,
(-13/6|  7/3),-2.16667, 2.33333,  0.41067,  6.40169,   40,        2,
( -7/3| 13/6),-2.33333, 2.16667, -0.41067,  6.40169,   40,        3,
(  1/6| -7/3), 0.16667,-2.33333, -5.33865, -3.55649,   40,        2,
( 13/6|  1/6), 2.16667, 0.16667,  5.74932, -2.84519,   40,        1,
(  7/3| -1/6), 2.33333,-0.16667,  5.33865, -3.55649,   40,        3,
( -1/6|  7/3),-0.16667, 2.33333,  5.33865,  3.55649,   41,        2,
(-13/6| -1/6),-2.16667,-0.16667, -5.74932,  2.84519,   41,        1,
( -7/3|  1/6),-2.33333, 0.16667, -5.33865,  3.55649,   41,        3,
(  1/6| 13/6), 0.16667, 2.16667,  5.74932,  2.84519,   41,        1,
( 13/6| -7/3), 2.16667,-2.33333, -0.41067, -6.40169,   41,        2,
(  7/3|-13/6), 2.33333,-2.16667,  0.41067, -6.40169,   41,        3,
( -1/2| -2  ),-0.50000,-2.00000, -6.15999, -2.13390,   42,        2,
( -2  |  5/2),-2.00000, 2.50000,  1.23200,  6.40169,   42,        3,
( -5/2|  2  ),-2.50000, 2.00000, -1.23200,  6.40169,   42,        2,
(  1/2| -5/2), 0.50000,-2.50000, -4.92799, -4.26779,   42,        1,
(  2  |  1/2), 2.00000, 0.50000,  6.15999, -2.13390,   42,        3,
(  5/2| -1/2), 2.50000,-0.50000,  4.92799, -4.26779,   42,        1,
( -1/2|  5/2),-0.50000, 2.50000,  4.92799,  4.26779,   43,        1,
( -2  | -1/2),-2.00000,-0.50000, -6.15999,  2.13390,   43,        3,
( -5/2|  1/2),-2.50000, 0.50000, -4.92799,  4.26779,   43,        1,
(  1/2|  2  ), 0.50000, 2.00000,  6.15999,  2.13390,   43,        2,
(  2  | -5/2), 2.00000,-2.50000, -1.23200, -6.40169,   43,        3,
(  5/2| -2  ), 2.50000,-2.00000,  1.23200, -6.40169,   43,        2,
( -4/3| -4/3),-1.33333,-1.33333, -6.57065,  0.00000,   44,    1+2+3,
( -4/3|  8/3),-1.33333, 2.66667,  3.28533,  5.69039,   44,    1+2+3,
( -8/3|  4/3),-2.66667, 1.33333, -3.28533,  5.69039,   44,    1+2+3,
(  4/3| -8/3), 1.33333,-2.66667, -3.28533, -5.69039,   44,    1+2+3,
(  4/3|  4/3), 1.33333, 1.33333,  6.57065, -0.00000,   44,    1+2+3,
(  8/3| -4/3), 2.66667,-1.33333,  3.28533, -5.69039,   44,    1+2+3,
(-11/6| -5/6),-1.83333,-0.83333, -6.57065,  1.42260,   45,        1,
( -5/6|  8/3),-0.83333, 2.66667,  4.51732,  4.97909,   45,        2,
( -8/3|  5/6),-2.66667, 0.83333, -4.51732,  4.97909,   45,        3,
( 11/6| -8/3), 1.83333,-2.66667, -2.05333, -6.40169,   45,        2,
(  5/6| 11/6), 0.83333, 1.83333,  6.57065,  1.42260,   45,        1,
(  8/3|-11/6), 2.66667,-1.83333,  2.05333, -6.40169,   45,        3,
(-11/6|  8/3),-1.83333, 2.66667,  2.05333,  6.40169,   46,        2,
( -5/6|-11/6),-0.83333,-1.83333, -6.57065, -1.42260,   46,        1,
( -8/3| 11/6),-2.66667, 1.83333, -2.05333,  6.40169,   46,        3,
( 11/6|  5/6), 1.83333, 0.83333,  6.57065, -1.42260,   46,        1,
(  5/6| -8/3), 0.83333,-2.66667, -4.51732, -4.97909,   46,        2,
(  8/3| -5/6), 2.66667,-0.83333,  4.51732, -4.97909,   46,        3,
(-17/6|  7/6),-2.83333, 1.16667, -4.10666,  5.69039,   47,        1,
( -5/3| -7/6),-1.66667,-1.16667, -6.98132,  0.71130,   47,        3,
( -7/6| 17/6),-1.16667, 2.83333,  4.10666,  5.69039,   47,        1,
( 17/6| -5/3), 2.83333,-1.66667,  2.87466, -6.40169,   47,        2,
(  5/3|-17/6), 1.66667,-2.83333, -2.87466, -6.40169,   47,        3,
(  7/6|  5/3), 1.16667, 1.66667,  6.98132,  0.71130,   47,        2,
(-17/6|  5/3),-2.83333, 1.66667, -2.87466,  6.40169,   48,        2,
( -5/3| 17/6),-1.66667, 2.83333,  2.87466,  6.40169,   48,        3,
( -7/6| -5/3),-1.16667,-1.66667, -6.98132, -0.71130,   48,        2,
( 17/6| -7/6), 2.83333,-1.16667,  4.10666, -5.69039,   48,        1,
(  5/3|  7/6), 1.66667, 1.16667,  6.98132, -0.71130,   48,        3,
(  7/6|-17/6), 1.16667,-2.83333, -4.10666, -5.69039,   48,        1,
