# This file was automatically generated by ViPErLEED v0.1.0
# It contains the pattern file generated from:
# C:/Users/Michele-Win/Desktop/TEMP/input examples/Cu(111)-(3xr3)rect.tlm
#
# Structure: Cu(111)-(2r3x2r3)R30
#
# Max. LEED Energy: 1100.0 eV
# Bulk lattice: Hexagonal (p3); a = 8.8109 AA; alpha = 120.00 deg
#        Basis: a = [7.6305 4.4055]; b = [-7.6305  4.4055]
# Surface lattice: Hexagonal (p3m1); a = 2.5435 AA; alpha = 120.00 deg
#
# Exporting beams from 2 domain(s) out of 2 symmetry-equivalent ones
# Domain 1 - Basis: a = [7.6305 4.4055]; b = [-7.6305  4.4055]
#            Superlattice: [[ 4  2] [-2  2]]
# Domain 2 - Basis: a = [-7.6305  4.4055]; b = [7.6305 4.4055]
#            Superlattice: [[-2  2] [ 4  2]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h  |  k  ),   h    ,   k    ,   gx    ,   gy    ,group,domain(s),
(  7/3|-13/6), 2.33333,-2.16667,  5.76401, -2.85245,   41,      1+2,
( 13/6| -7/3), 2.16667,-2.33333,  5.35230, -3.56556,   41,      1+2,
( -7/3|  1/6),-2.33333, 0.16667, -5.76401, -2.85245,   41,      1+2,
(-13/6| -1/6),-2.16667,-0.16667, -5.35230, -3.56556,   41,      1+2,
(  1/2|  2  ), 0.50000, 2.00000,  1.23515,  6.41800,   42,      1+2,
( -1/2|  5/2),-0.50000, 2.50000, -1.23515,  6.41800,   42,      1+2,
(  5/2| -2  ), 2.50000,-2.00000,  6.17573, -2.13933,   42,      1+2,
(  2  | -5/2), 2.00000,-2.50000,  4.94058, -4.27867,   42,      1+2,
( -5/2|  1/2),-2.50000, 0.50000, -6.17573, -2.13933,   42,      1+2,
( -2  | -1/2),-2.00000,-0.50000, -4.94058, -4.27867,   42,      1+2,
(  2  |  1/2), 2.00000, 0.50000,  4.94058,  4.27867,   43,      1+2,
(  5/2| -1/2), 2.50000,-0.50000,  6.17573,  2.13933,   43,      1+2,
( -2  |  5/2),-2.00000, 2.50000, -4.94058,  4.27867,   43,      1+2,
( -5/2|  2  ),-2.50000, 2.00000, -6.17573,  2.13933,   43,      1+2,
(  1/2| -5/2), 0.50000,-2.50000,  1.23515, -6.41800,   43,      1+2,
( -1/2| -2  ),-0.50000,-2.00000, -1.23515, -6.41800,   43,      1+2,
(  4/3|  4/3), 1.33333, 1.33333,  3.29372,  5.70489,   44,      1+2,
(  8/3| -4/3), 2.66667,-1.33333,  6.58744, -0.00000,   44,      1+2,
( -4/3|  8/3),-1.33333, 2.66667, -3.29372,  5.70489,   44,      1+2,
(  4/3| -8/3), 1.33333,-2.66667,  3.29372, -5.70489,   44,      1+2,
( -8/3|  4/3),-2.66667, 1.33333, -6.58744,  0.00000,   44,      1+2,
( -4/3| -4/3),-1.33333,-1.33333, -3.29372, -5.70489,   44,      1+2,
( 11/6|  5/6), 1.83333, 0.83333,  4.52887,  4.99178,   45,      1+2,
(  8/3| -5/6), 2.66667,-0.83333,  6.58744,  1.42622,   45,      1+2,
(-11/6|  8/3),-1.83333, 2.66667, -4.52887,  4.99178,   45,      1+2,
( -8/3| 11/6),-2.66667, 1.83333, -6.58744,  1.42622,   45,      1+2,
(  5/6| -8/3), 0.83333,-2.66667,  2.05858, -6.41800,   45,      1+2,
( -5/6|-11/6),-0.83333,-1.83333, -2.05858, -6.41800,   45,      1+2,
(  5/6| 11/6), 0.83333, 1.83333,  2.05858,  6.41800,   46,      1+2,
( -5/6|  8/3),-0.83333, 2.66667, -2.05858,  6.41800,   46,      1+2,
(  8/3|-11/6), 2.66667,-1.83333,  6.58744, -1.42622,   46,      1+2,
( 11/6| -8/3), 1.83333,-2.66667,  4.52887, -4.99178,   46,      1+2,
( -8/3|  5/6),-2.66667, 0.83333, -6.58744, -1.42622,   46,      1+2,
(-11/6| -5/6),-1.83333,-0.83333, -4.52887, -4.99178,   46,      1+2,
(  7/6|  5/3), 1.16667, 1.66667,  2.88201,  6.41800,   47,      1+2,
( -7/6| 17/6),-1.16667, 2.83333, -2.88201,  6.41800,   47,      1+2,
( 17/6| -5/3), 2.83333,-1.66667,  6.99916, -0.71311,   47,      1+2,
(  5/3|-17/6), 1.66667,-2.83333,  4.11715, -5.70489,   47,      1+2,
(-17/6|  7/6),-2.83333, 1.16667, -6.99916, -0.71311,   47,      1+2,
( -5/3| -7/6),-1.66667,-1.16667, -4.11715, -5.70489,   47,      1+2,
