# This file was automatically generated by ViPErLEED v0.1.0
# It contains the pattern file generated from:
# C:/Users/Michele-Win/Desktop/TEMP/input examples/Cu(111)-(3xr3)rect.tlm
#
# Structure: Cu(111)-(2r3x2r3)R30
#
# Max. LEED Energy: 1100.0 eV
# Bulk lattice: Hexagonal (p3); a = 8.8109 AA; alpha = 120.00 deg
#        Basis: a = [7.6305 4.4055]; b = [-7.6305  4.4055]
# Surface lattice: Hexagonal (p3m1); a = 2.5435 AA; alpha = 120.00 deg
#
# Exporting beams from 2 domain(s) out of 2 symmetry-equivalent ones
# Domain 1 - Basis: a = [7.6305 4.4055]; b = [-7.6305  4.4055]
#            Superlattice: [[ 4  2] [-2  2]]
# Domain 2 - Basis: a = [-7.6305  4.4055]; b = [7.6305 4.4055]
#            Superlattice: [[-2  2] [ 4  2]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h  |  k  ),   h    ,   k    ,   gx    ,   gy    ,group,domain(s),
(-17/6| 31/6),-2.83333, 5.16667, -6.99916, 10.69667,  153,      1+2,
(-31/6| 17/6),-5.16667, 2.83333,-12.76317,  0.71311,  153,      1+2,
(  7/3|-31/6), 2.33333,-5.16667,  5.76401,-11.40979,  153,      1+2,
( -7/3|-17/6),-2.33333,-2.83333, -5.76401,-11.40979,  153,      1+2,
(  0  |  9/2), 0.00000, 4.50000,  0.00000, 12.83601,  154,      1+2,
(  9/2| -9/2), 4.50000,-4.50000, 11.11631, -6.41800,  154,      1+2,
( -9/2|  0  ),-4.50000, 0.00000,-11.11631, -6.41800,  154,      1+2,
(  9/2|  0  ), 4.50000, 0.00000, 11.11631,  6.41800,  155,      1+2,
( -9/2|  9/2),-4.50000, 4.50000,-11.11631,  6.41800,  155,      1+2,
(  0  | -9/2), 0.00000,-4.50000,  0.00000,-12.83601,  155,      1+2,
( 13/3|  1/3), 4.33333, 0.33333, 10.70459,  7.13112,  156,      1+2,
( 14/3| -1/3), 4.66667,-0.33333, 11.52802,  5.70489,  156,      1+2,
(-13/3| 14/3),-4.33333, 4.66667,-10.70459,  7.13112,  156,      1+2,
(-14/3| 13/3),-4.66667, 4.33333,-11.52802,  5.70489,  156,      1+2,
(  1/3|-14/3), 0.33333,-4.66667,  0.82343,-12.83601,  156,      1+2,
( -1/3|-13/3),-0.33333,-4.33333, -0.82343,-12.83601,  156,      1+2,
(  1/3| 13/3), 0.33333, 4.33333,  0.82343, 12.83601,  157,      1+2,
( -1/3| 14/3),-0.33333, 4.66667, -0.82343, 12.83601,  157,      1+2,
( 14/3|-13/3), 4.66667,-4.33333, 11.52802, -5.70489,  157,      1+2,
( 13/3|-14/3), 4.33333,-4.66667, 10.70459, -7.13112,  157,      1+2,
(-14/3|  1/3),-4.66667, 0.33333,-11.52802, -5.70489,  157,      1+2,
(-13/3| -1/3),-4.33333,-0.33333,-10.70459, -7.13112,  157,      1+2,
( 11/6| 10/3), 1.83333, 3.33333,  4.52887, 12.12290,  158,      1+2,
(-11/6| 31/6),-1.83333, 5.16667, -4.52887, 12.12290,  158,      1+2,
( 31/6|-10/3), 5.16667,-3.33333, 12.76317, -2.13933,  158,      1+2,
( 10/3|-31/6), 3.33333,-5.16667,  8.23430, -9.98356,  158,      1+2,
(-31/6| 11/6),-5.16667, 1.83333,-12.76317, -2.13933,  158,      1+2,
(-10/3|-11/6),-3.33333,-1.83333, -8.23430, -9.98356,  158,      1+2,
( 10/3| 11/6), 3.33333, 1.83333,  8.23430,  9.98356,  159,      1+2,
( 31/6|-11/6), 5.16667,-1.83333, 12.76317,  2.13933,  159,      1+2,
(-10/3| 31/6),-3.33333, 5.16667, -8.23430,  9.98356,  159,      1+2,
(-31/6| 10/3),-5.16667, 3.33333,-12.76317,  2.13933,  159,      1+2,
( 11/6|-31/6), 1.83333,-5.16667,  4.52887,-12.12290,  159,      1+2,
(-11/6|-10/3),-1.83333,-3.33333, -4.52887,-12.12290,  159,      1+2,
( 25/6|  2/3), 4.16667, 0.66667, 10.29288,  7.84423,  160,      1+2,
( 29/6| -2/3), 4.83333,-0.66667, 11.93974,  4.99178,  160,      1+2,
(-25/6| 29/6),-4.16667, 4.83333,-10.29288,  7.84423,  160,      1+2,
(-29/6| 25/6),-4.83333, 4.16667,-11.93974,  4.99178,  160,      1+2,
(  2/3|-29/6), 0.66667,-4.83333,  1.64686,-12.83601,  160,      1+2,
( -2/3|-25/6),-0.66667,-4.16667, -1.64686,-12.83601,  160,      1+2,
(  2/3| 25/6), 0.66667, 4.16667,  1.64686, 12.83601,  161,      1+2,
( -2/3| 29/6),-0.66667, 4.83333, -1.64686, 12.83601,  161,      1+2,
( 29/6|-25/6), 4.83333,-4.16667, 11.93974, -4.99178,  161,      1+2,
( 25/6|-29/6), 4.16667,-4.83333, 10.29288, -7.84423,  161,      1+2,
(-29/6|  2/3),-4.83333, 0.66667,-11.93974, -4.99178,  161,      1+2,
(-25/6| -2/3),-4.16667,-0.66667,-10.29288, -7.84423,  161,      1+2,
(  1  |  4  ), 1.00000, 4.00000,  2.47029, 12.83601,  162,      1+2,
( -1  |  5  ),-1.00000, 5.00000, -2.47029, 12.83601,  162,      1+2,
(  5  | -4  ), 5.00000,-4.00000, 12.35146, -4.27867,  162,      1+2,
(  4  | -5  ), 4.00000,-5.00000,  9.88116, -8.55734,  162,      1+2,
( -5  |  1  ),-5.00000, 1.00000,-12.35146, -4.27867,  162,      1+2,
( -4  | -1  ),-4.00000,-1.00000, -9.88116, -8.55734,  162,      1+2,
(  4  |  1  ), 4.00000, 1.00000,  9.88116,  8.55734,  163,      1+2,
(  5  | -1  ), 5.00000,-1.00000, 12.35146,  4.27867,  163,      1+2,
( -4  |  5  ),-4.00000, 5.00000, -9.88116,  8.55734,  163,      1+2,
( -5  |  4  ),-5.00000, 4.00000,-12.35146,  4.27867,  163,      1+2,
(  1  | -5  ), 1.00000,-5.00000,  2.47029,-12.83601,  163,      1+2,
( -1  | -4  ),-1.00000,-4.00000, -2.47029,-12.83601,  163,      1+2,
(  8/3|  8/3), 2.66667, 2.66667,  6.58744, 11.40979,  164,      1+2,
( 16/3| -8/3), 5.33333,-2.66667, 13.17489, -0.00000,  164,      1+2,
( -8/3| 16/3),-2.66667, 5.33333, -6.58744, 11.40979,  164,      1+2,
(  8/3|-16/3), 2.66667,-5.33333,  6.58744,-11.40979,  164,      1+2,
(-16/3|  8/3),-5.33333, 2.66667,-13.17489,  0.00000,  164,      1+2,
( -8/3| -8/3),-2.66667,-2.66667, -6.58744,-11.40979,  164,      1+2,
(  4/3| 23/6), 1.33333, 3.83333,  3.29372, 12.83601,  165,      1+2,
( -4/3| 31/6),-1.33333, 5.16667, -3.29372, 12.83601,  165,      1+2,
( 31/6|-23/6), 5.16667,-3.83333, 12.76317, -3.56556,  165,      1+2,
( 23/6|-31/6), 3.83333,-5.16667,  9.46945, -9.27045,  165,      1+2,
(-31/6|  4/3),-5.16667, 1.33333,-12.76317, -3.56556,  165,      1+2,
(-23/6| -4/3),-3.83333,-1.33333, -9.46945, -9.27045,  165,      1+2,
( 13/6| 19/6), 2.16667, 3.16667,  5.35230, 12.12290,  166,      1+2,
(-13/6| 16/3),-2.16667, 5.33333, -5.35230, 12.12290,  166,      1+2,
( 16/3|-19/6), 5.33333,-3.16667, 13.17489, -1.42622,  166,      1+2,
( 19/6|-16/3), 3.16667,-5.33333,  7.82259,-10.69667,  166,      1+2,
(-16/3| 13/6),-5.33333, 2.16667,-13.17489, -1.42622,  166,      1+2,
(-19/6|-13/6),-3.16667,-2.16667, -7.82259,-10.69667,  166,      1+2,
( 19/6| 13/6), 3.16667, 2.16667,  7.82259, 10.69667,  167,      1+2,
( 16/3|-13/6), 5.33333,-2.16667, 13.17489,  1.42622,  167,      1+2,
(-19/6| 16/3),-3.16667, 5.33333, -7.82259, 10.69667,  167,      1+2,
(-16/3| 19/6),-5.33333, 3.16667,-13.17489,  1.42622,  167,      1+2,
( 13/6|-16/3), 2.16667,-5.33333,  5.35230,-12.12290,  167,      1+2,
(-13/6|-19/6),-2.16667,-3.16667, -5.35230,-12.12290,  167,      1+2,
( 23/6|  4/3), 3.83333, 1.33333,  9.46945,  9.27045,  168,      1+2,
( 31/6| -4/3), 5.16667,-1.33333, 12.76317,  3.56556,  168,      1+2,
(-23/6| 31/6),-3.83333, 5.16667, -9.46945,  9.27045,  168,      1+2,
(-31/6| 23/6),-5.16667, 3.83333,-12.76317,  3.56556,  168,      1+2,
(  4/3|-31/6), 1.33333,-5.16667,  3.29372,-12.83601,  168,      1+2,
( -4/3|-23/6),-1.33333,-3.83333, -3.29372,-12.83601,  168,      1+2,
( 11/3|  5/3), 3.66667, 1.66667,  9.05773,  9.98356,  169,      1+2,
( 16/3| -5/3), 5.33333,-1.66667, 13.17489,  2.85245,  169,      1+2,
(-11/3| 16/3),-3.66667, 5.33333, -9.05773,  9.98356,  169,      1+2,
(-16/3| 11/3),-5.33333, 3.66667,-13.17489,  2.85245,  169,      1+2,
(  5/3|-16/3), 1.66667,-5.33333,  4.11715,-12.83601,  169,      1+2,
( -5/3|-11/3),-1.66667,-3.66667, -4.11715,-12.83601,  169,      1+2,
(  5/3| 11/3), 1.66667, 3.66667,  4.11715, 12.83601,  170,      1+2,
( -5/3| 16/3),-1.66667, 5.33333, -4.11715, 12.83601,  170,      1+2,
( 16/3|-11/3), 5.33333,-3.66667, 13.17489, -2.85245,  170,      1+2,
( 11/3|-16/3), 3.66667,-5.33333,  9.05773, -9.98356,  170,      1+2,
(-16/3|  5/3),-5.33333, 1.66667,-13.17489, -2.85245,  170,      1+2,
(-11/3| -5/3),-3.66667,-1.66667, -9.05773, -9.98356,  170,      1+2,
(  1/6| 14/3), 0.16667, 4.66667,  0.41172, 13.54912,  171,      1+2,
( -1/6| 29/6),-0.16667, 4.83333, -0.41172, 13.54912,  171,      1+2,
( 29/6|-14/3), 4.83333,-4.66667, 11.93974, -6.41800,  171,      1+2,
( 14/3|-29/6), 4.66667,-4.83333, 11.52802, -7.13112,  171,      1+2,
(-29/6|  1/6),-4.83333, 0.16667,-11.93974, -6.41800,  171,      1+2,
(-14/3| -1/6),-4.66667,-0.16667,-11.52802, -7.13112,  171,      1+2,
( 14/3|  1/6), 4.66667, 0.16667, 11.52802,  7.13112,  172,      1+2,
( 29/6| -1/6), 4.83333,-0.16667, 11.93974,  6.41800,  172,      1+2,
(-14/3| 29/6),-4.66667, 4.83333,-11.52802,  7.13112,  172,      1+2,
(-29/6| 14/3),-4.83333, 4.66667,-11.93974,  6.41800,  172,      1+2,
(  1/6|-29/6), 0.16667,-4.83333,  0.41172,-13.54912,  172,      1+2,
( -1/6|-14/3),-0.16667,-4.66667, -0.41172,-13.54912,  172,      1+2,
(  1/2|  9/2), 0.50000, 4.50000,  1.23515, 13.54912,  173,      1+2,
( -1/2|  5  ),-0.50000, 5.00000, -1.23515, 13.54912,  173,      1+2,
(  5  | -9/2), 5.00000,-4.50000, 12.35146, -5.70489,  173,      1+2,
(  9/2| -5  ), 4.50000,-5.00000, 11.11631, -7.84423,  173,      1+2,
( -5  |  1/2),-5.00000, 0.50000,-12.35146, -5.70489,  173,      1+2,
( -9/2| -1/2),-4.50000,-0.50000,-11.11631, -7.84423,  173,      1+2,
(  5/2|  3  ), 2.50000, 3.00000,  6.17573, 12.12290,  174,      1+2,
( -5/2| 11/2),-2.50000, 5.50000, -6.17573, 12.12290,  174,      1+2,
( 11/2| -3  ), 5.50000,-3.00000, 13.58660, -0.71311,  174,      1+2,
(  3  |-11/2), 3.00000,-5.50000,  7.41087,-11.40979,  174,      1+2,
(-11/2|  5/2),-5.50000, 2.50000,-13.58660, -0.71311,  174,      1+2,
( -3  | -5/2),-3.00000,-2.50000, -7.41087,-11.40979,  174,      1+2,
(  3  |  5/2), 3.00000, 2.50000,  7.41087, 11.40979,  175,      1+2,
( 11/2| -5/2), 5.50000,-2.50000, 13.58660,  0.71311,  175,      1+2,
( -3  | 11/2),-3.00000, 5.50000, -7.41087, 11.40979,  175,      1+2,
(-11/2|  3  ),-5.50000, 3.00000,-13.58660,  0.71311,  175,      1+2,
(  5/2|-11/2), 2.50000,-5.50000,  6.17573,-12.12290,  175,      1+2,
( -5/2| -3  ),-2.50000,-3.00000, -6.17573,-12.12290,  175,      1+2,
(  9/2|  1/2), 4.50000, 0.50000, 11.11631,  7.84423,  176,      1+2,
(  5  | -1/2), 5.00000,-0.50000, 12.35146,  5.70489,  176,      1+2,
( -9/2|  5  ),-4.50000, 5.00000,-11.11631,  7.84423,  176,      1+2,
( -5  |  9/2),-5.00000, 4.50000,-12.35146,  5.70489,  176,      1+2,
(  1/2| -5  ), 0.50000,-5.00000,  1.23515,-13.54912,  176,      1+2,
( -1/2| -9/2),-0.50000,-4.50000, -1.23515,-13.54912,  176,      1+2,
(  5/6| 13/3), 0.83333, 4.33333,  2.05858, 13.54912,  177,      1+2,
( -5/6| 31/6),-0.83333, 5.16667, -2.05858, 13.54912,  177,      1+2,
( 31/6|-13/3), 5.16667,-4.33333, 12.76317, -4.99178,  177,      1+2,
( 13/3|-31/6), 4.33333,-5.16667, 10.70459, -8.55734,  177,      1+2,
(-31/6|  5/6),-5.16667, 0.83333,-12.76317, -4.99178,  177,      1+2,
(-13/3| -5/6),-4.33333,-0.83333,-10.70459, -8.55734,  177,      1+2,
( 13/3|  5/6), 4.33333, 0.83333, 10.70459,  8.55734,  178,      1+2,
( 31/6| -5/6), 5.16667,-0.83333, 12.76317,  4.99178,  178,      1+2,
(-13/3| 31/6),-4.33333, 5.16667,-10.70459,  8.55734,  178,      1+2,
(-31/6| 13/3),-5.16667, 4.33333,-12.76317,  4.99178,  178,      1+2,
(  5/6|-31/6), 0.83333,-5.16667,  2.05858,-13.54912,  178,      1+2,
( -5/6|-13/3),-0.83333,-4.33333, -2.05858,-13.54912,  178,      1+2,
(  7/2|  2  ), 3.50000, 2.00000,  8.64602, 10.69667,  179,      1+2,
( 11/2| -2  ), 5.50000,-2.00000, 13.58660,  2.13933,  179,      1+2,
( -7/2| 11/2),-3.50000, 5.50000, -8.64602, 10.69667,  179,      1+2,
(-11/2|  7/2),-5.50000, 3.50000,-13.58660,  2.13933,  179,      1+2,
(  2  |-11/2), 2.00000,-5.50000,  4.94058,-12.83601,  179,      1+2,
( -2  | -7/2),-2.00000,-3.50000, -4.94058,-12.83601,  179,      1+2,
(  2  |  7/2), 2.00000, 3.50000,  4.94058, 12.83601,  180,      1+2,
( -2  | 11/2),-2.00000, 5.50000, -4.94058, 12.83601,  180,      1+2,
( 11/2| -7/2), 5.50000,-3.50000, 13.58660, -2.13933,  180,      1+2,
(  7/2|-11/2), 3.50000,-5.50000,  8.64602,-10.69667,  180,      1+2,
(-11/2|  2  ),-5.50000, 2.00000,-13.58660, -2.13933,  180,      1+2,
( -7/2| -2  ),-3.50000,-2.00000, -8.64602,-10.69667,  180,      1+2,
(  7/6| 25/6), 1.16667, 4.16667,  2.88201, 13.54912,  181,      1+2,
( -7/6| 16/3),-1.16667, 5.33333, -2.88201, 13.54912,  181,      1+2,
( 16/3|-25/6), 5.33333,-4.16667, 13.17489, -4.27867,  181,      1+2,
( 25/6|-16/3), 4.16667,-5.33333, 10.29288, -9.27045,  181,      1+2,
(-16/3|  7/6),-5.33333, 1.16667,-13.17489, -4.27867,  181,      1+2,
(-25/6| -7/6),-4.16667,-1.16667,-10.29288, -9.27045,  181,      1+2,
( 25/6|  7/6), 4.16667, 1.16667, 10.29288,  9.27045,  182,      1+2,
( 16/3| -7/6), 5.33333,-1.16667, 13.17489,  4.27867,  182,      1+2,
(-25/6| 16/3),-4.16667, 5.33333,-10.29288,  9.27045,  182,      1+2,
(-16/3| 25/6),-5.33333, 4.16667,-13.17489,  4.27867,  182,      1+2,
(  7/6|-16/3), 1.16667,-5.33333,  2.88201,-13.54912,  182,      1+2,
( -7/6|-25/6),-1.16667,-4.16667, -2.88201,-13.54912,  182,      1+2,
