# This file was automatically generated by ViPErLEED v. 0.1a.
#
# Structure: Pt(111)-(10x10)Te
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Hexagonal (p3m1); a = 2.7662 AA; alpha = 120.00 deg
#        Basis: a = [2.7662 0.0000]; b = [-1.3831  2.3956]
# Surface lattice: Hexagonal (p3m1); a = 27.6620 AA; alpha = 120.00 deg
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [27.6620  0.0000]; b = [-13.8310  23.9560]
#            Superlattice: [[10  0] [ 0 10]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h   |  k   ),   h    ,   k    ,   gx    ,   gy    ,group,domain(s),
( 27/10|-22/5 ), 2.70000,-4.40000,  6.13282, -7.99955,  931,        1,
(-22/5 | 17/10),-4.40000, 1.70000, -9.99422, -1.31140,  931,        1,
(-27/10|-17/10),-2.70000,-1.70000, -6.13282, -7.99955,  931,        1,
( 27/10| 17/10), 2.70000, 1.70000,  6.13282,  7.99955,  932,        1,
( 22/5 |-17/10), 4.40000,-1.70000,  9.99422,  1.31140,  932,        1,
(-27/10| 22/5 ),-2.70000, 4.40000, -6.13282,  7.99955,  932,        1,
(-22/5 | 27/10),-4.40000, 2.70000, -9.99422,  1.31140,  932,        1,
( 17/10|-22/5 ), 1.70000,-4.40000,  3.86140, -9.31095,  932,        1,
(-17/10|-27/10),-1.70000,-2.70000, -3.86140, -9.31095,  932,        1,
(  6/5 | 31/10), 1.20000, 3.10000,  2.72570,  9.70437,  933,        1,
( -6/5 | 43/10),-1.20000, 4.30000, -2.72570,  9.70437,  933,        1,
( 43/10|-31/10), 4.30000,-3.10000,  9.76708, -2.49166,  933,        1,
( 31/10|-43/10), 3.10000,-4.30000,  7.04138, -7.21271,  933,        1,
(-43/10|  6/5 ),-4.30000, 1.20000, -9.76708, -2.49166,  933,        1,
(-31/10| -6/5 ),-3.10000,-1.20000, -7.04138, -7.21271,  933,        1,
( 31/10|  6/5 ), 3.10000, 1.20000,  7.04138,  7.21271,  934,        1,
( 43/10| -6/5 ), 4.30000,-1.20000,  9.76708,  2.49166,  934,        1,
(-31/10| 43/10),-3.10000, 4.30000, -7.04138,  7.21271,  934,        1,
(-43/10| 31/10),-4.30000, 3.10000, -9.76708,  2.49166,  934,        1,
(  6/5 |-43/10), 1.20000,-4.30000,  2.72570, -9.70437,  934,        1,
( -6/5 |-31/10),-1.20000,-3.10000, -2.72570, -9.70437,  934,        1,
(  1/10| 19/5 ), 0.10000, 3.80000,  0.22714, 10.09779,  935,        1,
( -1/10| 39/10),-0.10000, 3.90000, -0.22714, 10.09779,  935,        1,
( 39/10|-19/5 ), 3.90000,-3.80000,  8.85851, -4.85219,  935,        1,
( 19/5 |-39/10), 3.80000,-3.90000,  8.63137, -5.24561,  935,        1,
(-39/10|  1/10),-3.90000, 0.10000, -8.85851, -4.85219,  935,        1,
(-19/5 | -1/10),-3.80000,-0.10000, -8.63137, -5.24561,  935,        1,
( 19/5 |  1/10), 3.80000, 0.10000,  8.63137,  5.24561,  936,        1,
( 39/10| -1/10), 3.90000,-0.10000,  8.85851,  4.85219,  936,        1,
(-19/5 | 39/10),-3.80000, 3.90000, -8.63137,  5.24561,  936,        1,
(-39/10| 19/5 ),-3.90000, 3.80000, -8.85851,  4.85219,  936,        1,
(  1/10|-39/10), 0.10000,-3.90000,  0.22714,-10.09779,  936,        1,
( -1/10|-19/5 ),-0.10000,-3.80000, -0.22714,-10.09779,  936,        1,
(  8/5 | 14/5 ), 1.60000, 2.80000,  3.63426,  9.44209,  937,        1,
( -8/5 | 22/5 ),-1.60000, 4.40000, -3.63426,  9.44209,  937,        1,
( 22/5 |-14/5 ), 4.40000,-2.80000,  9.99422, -1.57368,  937,        1,
( 14/5 |-22/5 ), 2.80000,-4.40000,  6.35996, -7.86841,  937,        1,
(-22/5 |  8/5 ),-4.40000, 1.60000, -9.99422, -1.57368,  937,        1,
(-14/5 | -8/5 ),-2.80000,-1.60000, -6.35996, -7.86841,  937,        1,
( 14/5 |  8/5 ), 2.80000, 1.60000,  6.35996,  7.86841,  938,        1,
( 22/5 | -8/5 ), 4.40000,-1.60000,  9.99422,  1.57368,  938,        1,
(-14/5 | 22/5 ),-2.80000, 4.40000, -6.35996,  7.86841,  938,        1,
(-22/5 | 14/5 ),-4.40000, 2.80000, -9.99422,  1.57368,  938,        1,
(  8/5 |-22/5 ), 1.60000,-4.40000,  3.63426, -9.44209,  938,        1,
( -8/5 |-14/5 ),-1.60000,-2.80000, -3.63426, -9.44209,  938,        1,
(  3/10| 37/10), 0.30000, 3.70000,  0.68142, 10.09779,  939,        1,
( -3/10|  4   ),-0.30000, 4.00000, -0.68142, 10.09779,  939,        1,
(  4   |-37/10), 4.00000,-3.70000,  9.08566, -4.45876,  939,        1,
( 37/10| -4   ), 3.70000,-4.00000,  8.40423, -5.63903,  939,        1,
( -4   |  3/10),-4.00000, 0.30000, -9.08566, -4.45876,  939,        1,
(-37/10| -3/10),-3.70000,-0.30000, -8.40423, -5.63903,  939,        1,
( 37/10|  3/10), 3.70000, 0.30000,  8.40423,  5.63903,  940,        1,
(  4   | -3/10), 4.00000,-0.30000,  9.08566,  4.45876,  940,        1,
(-37/10|  4   ),-3.70000, 4.00000, -8.40423,  5.63903,  940,        1,
( -4   | 37/10),-4.00000, 3.70000, -9.08566,  4.45876,  940,        1,
(  3/10| -4   ), 0.30000,-4.00000,  0.68142,-10.09779,  940,        1,
( -3/10|-37/10),-0.30000,-3.70000, -0.68142,-10.09779,  940,        1,
(  4/5 | 17/5 ), 0.80000, 3.40000,  1.81713,  9.96665,  941,        1,
( -4/5 | 21/5 ),-0.80000, 4.20000, -1.81713,  9.96665,  941,        1,
( 21/5 |-17/5 ), 4.20000,-3.40000,  9.53994, -3.40964,  941,        1,
( 17/5 |-21/5 ), 3.40000,-4.20000,  7.72281, -6.55701,  941,        1,
(-21/5 |  4/5 ),-4.20000, 0.80000, -9.53994, -3.40964,  941,        1,
(-17/5 | -4/5 ),-3.40000,-0.80000, -7.72281, -6.55701,  941,        1,
( 17/5 |  4/5 ), 3.40000, 0.80000,  7.72281,  6.55701,  942,        1,
( 21/5 | -4/5 ), 4.20000,-0.80000,  9.53994,  3.40964,  942,        1,
(-17/5 | 21/5 ),-3.40000, 4.20000, -7.72281,  6.55701,  942,        1,
(-21/5 | 17/5 ),-4.20000, 3.40000, -9.53994,  3.40964,  942,        1,
(  4/5 |-21/5 ), 0.80000,-4.20000,  1.81713, -9.96665,  942,        1,
( -4/5 |-17/5 ),-0.80000,-3.40000, -1.81713, -9.96665,  942,        1,
( 16/5 | 11/10), 3.20000, 1.10000,  7.26852,  7.08157,  943,        1,
( 43/10|-11/10), 4.30000,-1.10000,  9.76708,  2.75394,  943,        1,
(-16/5 | 43/10),-3.20000, 4.30000, -7.26852,  7.08157,  943,        1,
(-43/10| 16/5 ),-4.30000, 3.20000, -9.76708,  2.75394,  943,        1,
( 11/10|-43/10), 1.10000,-4.30000,  2.49856, -9.83551,  943,        1,
(-11/10|-16/5 ),-1.10000,-3.20000, -2.49856, -9.83551,  943,        1,
( 11/10| 16/5 ), 1.10000, 3.20000,  2.49856,  9.83551,  944,        1,
(-11/10| 43/10),-1.10000, 4.30000, -2.49856,  9.83551,  944,        1,
( 43/10|-16/5 ), 4.30000,-3.20000,  9.76708, -2.75394,  944,        1,
( 16/5 |-43/10), 3.20000,-4.30000,  7.26852, -7.08157,  944,        1,
(-43/10| 11/10),-4.30000, 1.10000, -9.76708, -2.75394,  944,        1,
(-16/5 |-11/10),-3.20000,-1.10000, -7.26852, -7.08157,  944,        1,
(  3/2 | 29/10), 1.50000, 2.90000,  3.40712,  9.57323,  945,        1,
( -3/2 | 22/5 ),-1.50000, 4.40000, -3.40712,  9.57323,  945,        1,
( 22/5 |-29/10), 4.40000,-2.90000,  9.99422, -1.83596,  945,        1,
( 29/10|-22/5 ), 2.90000,-4.40000,  6.58710, -7.73727,  945,        1,
(-22/5 |  3/2 ),-4.40000, 1.50000, -9.99422, -1.83596,  945,        1,
(-29/10| -3/2 ),-2.90000,-1.50000, -6.58710, -7.73727,  945,        1,
( 29/10|  3/2 ), 2.90000, 1.50000,  6.58710,  7.73727,  946,        1,
( 22/5 | -3/2 ), 4.40000,-1.50000,  9.99422,  1.83596,  946,        1,
(-29/10| 22/5 ),-2.90000, 4.40000, -6.58710,  7.73727,  946,        1,
(-22/5 | 29/10),-4.40000, 2.90000, -9.99422,  1.83596,  946,        1,
(  3/2 |-22/5 ), 1.50000,-4.40000,  3.40712, -9.57323,  946,        1,
( -3/2 |-29/10),-1.50000,-2.90000, -3.40712, -9.57323,  946,        1,
(  1/2 | 18/5 ), 0.50000, 3.60000,  1.13571, 10.09779,  947,        1,
( -1/2 | 41/10),-0.50000, 4.10000, -1.13571, 10.09779,  947,        1,
( 41/10|-18/5 ), 4.10000,-3.60000,  9.31280, -4.06534,  947,        1,
( 18/5 |-41/10), 3.60000,-4.10000,  8.17709, -6.03245,  947,        1,
(-41/10|  1/2 ),-4.10000, 0.50000, -9.31280, -4.06534,  947,        1,
(-18/5 | -1/2 ),-3.60000,-0.50000, -8.17709, -6.03245,  947,        1,
( 18/5 |  1/2 ), 3.60000, 0.50000,  8.17709,  6.03245,  948,        1,
( 41/10| -1/2 ), 4.10000,-0.50000,  9.31280,  4.06534,  948,        1,
(-18/5 | 41/10),-3.60000, 4.10000, -8.17709,  6.03245,  948,        1,
(-41/10| 18/5 ),-4.10000, 3.60000, -9.31280,  4.06534,  948,        1,
(  1/2 |-41/10), 0.50000,-4.10000,  1.13571,-10.09779,  948,        1,
( -1/2 |-18/5 ),-0.50000,-3.60000, -1.13571,-10.09779,  948,        1,
(  3   |  7/5 ), 3.00000, 1.40000,  6.81424,  7.60613,  949,        1,
( 22/5 | -7/5 ), 4.40000,-1.40000,  9.99422,  2.09824,  949,        1,
( -3   | 22/5 ),-3.00000, 4.40000, -6.81424,  7.60613,  949,        1,
(-22/5 |  3   ),-4.40000, 3.00000, -9.99422,  2.09824,  949,        1,
(  7/5 |-22/5 ), 1.40000,-4.40000,  3.17998, -9.70437,  949,        1,
( -7/5 | -3   ),-1.40000,-3.00000, -3.17998, -9.70437,  949,        1,
(  7/5 |  3   ), 1.40000, 3.00000,  3.17998,  9.70437,  950,        1,
( -7/5 | 22/5 ),-1.40000, 4.40000, -3.17998,  9.70437,  950,        1,
( 22/5 | -3   ), 4.40000,-3.00000,  9.99422, -2.09824,  950,        1,
(  3   |-22/5 ), 3.00000,-4.40000,  6.81424, -7.60613,  950,        1,
(-22/5 |  7/5 ),-4.40000, 1.40000, -9.99422, -2.09824,  950,        1,
( -3   | -7/5 ),-3.00000,-1.40000, -6.81424, -7.60613,  950,        1,
(  7/10|  7/2 ), 0.70000, 3.50000,  1.58999, 10.09779,  951,        1,
( -7/10| 21/5 ),-0.70000, 4.20000, -1.58999, 10.09779,  951,        1,
( 21/5 | -7/2 ), 4.20000,-3.50000,  9.53994, -3.67192,  951,        1,
(  7/2 |-21/5 ), 3.50000,-4.20000,  7.94995, -6.42587,  951,        1,
(-21/5 |  7/10),-4.20000, 0.70000, -9.53994, -3.67192,  951,        1,
( -7/2 | -7/10),-3.50000,-0.70000, -7.94995, -6.42587,  951,        1,
( 11/5 | 23/10), 2.20000, 2.30000,  4.99711,  8.91753,  952,        1,
(-11/5 |  9/2 ),-2.20000, 4.50000, -4.99711,  8.91753,  952,        1,
(  9/2 |-23/10), 4.50000,-2.30000, 10.22136, -0.13114,  952,        1,
( 23/10| -9/2 ), 2.30000,-4.50000,  5.22425, -8.78639,  952,        1,
( -9/2 | 11/5 ),-4.50000, 2.20000,-10.22136, -0.13114,  952,        1,
(-23/10|-11/5 ),-2.30000,-2.20000, -5.22425, -8.78639,  952,        1,
( 23/10| 11/5 ), 2.30000, 2.20000,  5.22425,  8.78639,  953,        1,
(  9/2 |-11/5 ), 4.50000,-2.20000, 10.22136,  0.13114,  953,        1,
(-23/10|  9/2 ),-2.30000, 4.50000, -5.22425,  8.78639,  953,        1,
( -9/2 | 23/10),-4.50000, 2.30000,-10.22136,  0.13114,  953,        1,
( 11/5 | -9/2 ), 2.20000,-4.50000,  4.99711, -8.91753,  953,        1,
(-11/5 |-23/10),-2.20000,-2.30000, -4.99711, -8.91753,  953,        1,
(  1   | 33/10), 1.00000, 3.30000,  2.27141,  9.96665,  954,        1,
( -1   | 43/10),-1.00000, 4.30000, -2.27141,  9.96665,  954,        1,
( 43/10|-33/10), 4.30000,-3.30000,  9.76708, -3.01622,  954,        1,
( 33/10|-43/10), 3.30000,-4.30000,  7.49567, -6.95043,  954,        1,
(-43/10|  1   ),-4.30000, 1.00000, -9.76708, -3.01622,  954,        1,
(-33/10| -1   ),-3.30000,-1.00000, -7.49567, -6.95043,  954,        1,
( 33/10|  1   ), 3.30000, 1.00000,  7.49567,  6.95043,  955,        1,
( 43/10| -1   ), 4.30000,-1.00000,  9.76708,  3.01622,  955,        1,
(-33/10| 43/10),-3.30000, 4.30000, -7.49567,  6.95043,  955,        1,
(-43/10| 33/10),-4.30000, 3.30000, -9.76708,  3.01622,  955,        1,
(  1   |-43/10), 1.00000,-4.30000,  2.27141, -9.96665,  955,        1,
( -1   |-33/10),-1.00000,-3.30000, -2.27141, -9.96665,  955,        1,
(  7/2 |  7/10), 3.50000, 0.70000,  7.94995,  6.42587,  956,        1,
( 21/5 | -7/10), 4.20000,-0.70000,  9.53994,  3.67192,  956,        1,
( -7/2 | 21/5 ),-3.50000, 4.20000, -7.94995,  6.42587,  956,        1,
(-21/5 |  7/2 ),-4.20000, 3.50000, -9.53994,  3.67192,  956,        1,
(  7/10|-21/5 ), 0.70000,-4.20000,  1.58999,-10.09779,  956,        1,
( -7/10| -7/2 ),-0.70000,-3.50000, -1.58999,-10.09779,  956,        1,
( 21/10| 12/5 ), 2.10000, 2.40000,  4.76997,  9.04867,  957,        1,
(-21/10|  9/2 ),-2.10000, 4.50000, -4.76997,  9.04867,  957,        1,
(  9/2 |-12/5 ), 4.50000,-2.40000, 10.22136, -0.39342,  957,        1,
( 12/5 | -9/2 ), 2.40000,-4.50000,  5.45139, -8.65525,  957,        1,
( -9/2 | 21/10),-4.50000, 2.10000,-10.22136, -0.39342,  957,        1,
(-12/5 |-21/10),-2.40000,-2.10000, -5.45139, -8.65525,  957,        1,
( 12/5 | 21/10), 2.40000, 2.10000,  5.45139,  8.65525,  958,        1,
(  9/2 |-21/10), 4.50000,-2.10000, 10.22136,  0.39342,  958,        1,
(-12/5 |  9/2 ),-2.40000, 4.50000, -5.45139,  8.65525,  958,        1,
( -9/2 | 12/5 ),-4.50000, 2.40000,-10.22136,  0.39342,  958,        1,
( 21/10| -9/2 ), 2.10000,-4.50000,  4.76997, -9.04867,  958,        1,
(-21/10|-12/5 ),-2.10000,-2.40000, -4.76997, -9.04867,  958,        1,
( 39/10|  0   ), 3.90000, 0.00000,  8.85851,  5.11447,  959,        1,
(-39/10| 39/10),-3.90000, 3.90000, -8.85851,  5.11447,  959,        1,
(  0   |-39/10), 0.00000,-3.90000,  0.00000,-10.22893,  959,        1,
(  0   | 39/10), 0.00000, 3.90000,  0.00000, 10.22893,  960,        1,
( 39/10|-39/10), 3.90000,-3.90000,  8.85851, -5.11447,  960,        1,
(-39/10|  0   ),-3.90000, 0.00000, -8.85851, -5.11447,  960,        1,
(  1/5 | 19/5 ), 0.20000, 3.80000,  0.45428, 10.22893,  961,        1,
( -1/5 |  4   ),-0.20000, 4.00000, -0.45428, 10.22893,  961,        1,
(  4   |-19/5 ), 4.00000,-3.80000,  9.08566, -4.72105,  961,        1,
( 19/5 | -4   ), 3.80000,-4.00000,  8.63137, -5.50789,  961,        1,
( -4   |  1/5 ),-4.00000, 0.20000, -9.08566, -4.72105,  961,        1,
(-19/5 | -1/5 ),-3.80000,-0.20000, -8.63137, -5.50789,  961,        1,
( 19/5 |  1/5 ), 3.80000, 0.20000,  8.63137,  5.50789,  962,        1,
(  4   | -1/5 ), 4.00000,-0.20000,  9.08566,  4.72105,  962,        1,
(-19/5 |  4   ),-3.80000, 4.00000, -8.63137,  5.50789,  962,        1,
( -4   | 19/5 ),-4.00000, 3.80000, -9.08566,  4.72105,  962,        1,
(  1/5 | -4   ), 0.20000,-4.00000,  0.45428,-10.22893,  962,        1,
( -1/5 |-19/5 ),-0.20000,-3.80000, -0.45428,-10.22893,  962,        1,
(  5/2 |  2   ), 2.50000, 2.00000,  5.67853,  8.52411,  963,        1,
(  9/2 | -2   ), 4.50000,-2.00000, 10.22136,  0.65570,  963,        1,
( -5/2 |  9/2 ),-2.50000, 4.50000, -5.67853,  8.52411,  963,        1,
( -9/2 |  5/2 ),-4.50000, 2.50000,-10.22136,  0.65570,  963,        1,
(  2   | -9/2 ), 2.00000,-4.50000,  4.54283, -9.17981,  963,        1,
( -2   | -5/2 ),-2.00000,-2.50000, -4.54283, -9.17981,  963,        1,
(  2   |  5/2 ), 2.00000, 2.50000,  4.54283,  9.17981,  964,        1,
( -2   |  9/2 ),-2.00000, 4.50000, -4.54283,  9.17981,  964,        1,
(  9/2 | -5/2 ), 4.50000,-2.50000, 10.22136, -0.65570,  964,        1,
(  5/2 | -9/2 ), 2.50000,-4.50000,  5.67853, -8.52411,  964,        1,
( -9/2 |  2   ),-4.50000, 2.00000,-10.22136, -0.65570,  964,        1,
( -5/2 | -2   ),-2.50000,-2.00000, -5.67853, -8.52411,  964,        1,
( 19/10| 13/5 ), 1.90000, 2.60000,  4.31569,  9.31095,  965,        1,
(-19/10|  9/2 ),-1.90000, 4.50000, -4.31569,  9.31095,  965,        1,
(  9/2 |-13/5 ), 4.50000,-2.60000, 10.22136, -0.91798,  965,        1,
( 13/5 | -9/2 ), 2.60000,-4.50000,  5.90568, -8.39297,  965,        1,
( -9/2 | 19/10),-4.50000, 1.90000,-10.22136, -0.91798,  965,        1,
(-13/5 |-19/10),-2.60000,-1.90000, -5.90568, -8.39297,  965,        1,
( 13/5 | 19/10), 2.60000, 1.90000,  5.90568,  8.39297,  966,        1,
(  9/2 |-19/10), 4.50000,-1.90000, 10.22136,  0.91798,  966,        1,
(-13/5 |  9/2 ),-2.60000, 4.50000, -5.90568,  8.39297,  966,        1,
( -9/2 | 13/5 ),-4.50000, 2.60000,-10.22136,  0.91798,  966,        1,
( 19/10| -9/2 ), 1.90000,-4.50000,  4.31569, -9.31095,  966,        1,
(-19/10|-13/5 ),-1.90000,-2.60000, -4.31569, -9.31095,  966,        1,
( 13/10| 31/10), 1.30000, 3.10000,  2.95284,  9.83551,  967,        1,
(-13/10| 22/5 ),-1.30000, 4.40000, -2.95284,  9.83551,  967,        1,
( 22/5 |-31/10), 4.40000,-3.10000,  9.99422, -2.36052,  967,        1,
( 31/10|-22/5 ), 3.10000,-4.40000,  7.04138, -7.47499,  967,        1,
(-22/5 | 13/10),-4.40000, 1.30000, -9.99422, -2.36052,  967,        1,
(-31/10|-13/10),-3.10000,-1.30000, -7.04138, -7.47499,  967,        1,
( 31/10| 13/10), 3.10000, 1.30000,  7.04138,  7.47499,  968,        1,
( 22/5 |-13/10), 4.40000,-1.30000,  9.99422,  2.36052,  968,        1,
(-31/10| 22/5 ),-3.10000, 4.40000, -7.04138,  7.47499,  968,        1,
(-22/5 | 31/10),-4.40000, 3.10000, -9.99422,  2.36052,  968,        1,
( 13/10|-22/5 ), 1.30000,-4.40000,  2.95284, -9.83551,  968,        1,
(-13/10|-31/10),-1.30000,-3.10000, -2.95284, -9.83551,  968,        1,
(  2/5 | 37/10), 0.40000, 3.70000,  0.90857, 10.22893,  969,        1,
( -2/5 | 41/10),-0.40000, 4.10000, -0.90857, 10.22893,  969,        1,
( 41/10|-37/10), 4.10000,-3.70000,  9.31280, -4.32762,  969,        1,
( 37/10|-41/10), 3.70000,-4.10000,  8.40423, -5.90131,  969,        1,
(-41/10|  2/5 ),-4.10000, 0.40000, -9.31280, -4.32762,  969,        1,
(-37/10| -2/5 ),-3.70000,-0.40000, -8.40423, -5.90131,  969,        1,
( 37/10|  2/5 ), 3.70000, 0.40000,  8.40423,  5.90131,  970,        1,
( 41/10| -2/5 ), 4.10000,-0.40000,  9.31280,  4.32762,  970,        1,
(-37/10| 41/10),-3.70000, 4.10000, -8.40423,  5.90131,  970,        1,
(-41/10| 37/10),-4.10000, 3.70000, -9.31280,  4.32762,  970,        1,
(  2/5 |-41/10), 0.40000,-4.10000,  0.90857,-10.22893,  970,        1,
( -2/5 |-37/10),-0.40000,-3.70000, -0.90857,-10.22893,  970,        1,
(  9/5 | 27/10), 1.80000, 2.70000,  4.08855,  9.44209,  971,        1,
( -9/5 |  9/2 ),-1.80000, 4.50000, -4.08855,  9.44209,  971,        1,
(  9/2 |-27/10), 4.50000,-2.70000, 10.22136, -1.18026,  971,        1,
( 27/10| -9/2 ), 2.70000,-4.50000,  6.13282, -8.26183,  971,        1,
( -9/2 |  9/5 ),-4.50000, 1.80000,-10.22136, -1.18026,  971,        1,
(-27/10| -9/5 ),-2.70000,-1.80000, -6.13282, -8.26183,  971,        1,
( 27/10|  9/5 ), 2.70000, 1.80000,  6.13282,  8.26183,  972,        1,
(  9/2 | -9/5 ), 4.50000,-1.80000, 10.22136,  1.18026,  972,        1,
(-27/10|  9/2 ),-2.70000, 4.50000, -6.13282,  8.26183,  972,        1,
( -9/2 | 27/10),-4.50000, 2.70000,-10.22136,  1.18026,  972,        1,
(  9/5 | -9/2 ), 1.80000,-4.50000,  4.08855, -9.44209,  972,        1,
( -9/5 |-27/10),-1.80000,-2.70000, -4.08855, -9.44209,  972,        1,
( 17/5 |  9/10), 3.40000, 0.90000,  7.72281,  6.81929,  973,        1,
( 43/10| -9/10), 4.30000,-0.90000,  9.76708,  3.27850,  973,        1,
(-17/5 | 43/10),-3.40000, 4.30000, -7.72281,  6.81929,  973,        1,
(-43/10| 17/5 ),-4.30000, 3.40000, -9.76708,  3.27850,  973,        1,
(  9/10|-43/10), 0.90000,-4.30000,  2.04427,-10.09779,  973,        1,
( -9/10|-17/5 ),-0.90000,-3.40000, -2.04427,-10.09779,  973,        1,
(  9/10| 17/5 ), 0.90000, 3.40000,  2.04427, 10.09779,  974,        1,
( -9/10| 43/10),-0.90000, 4.30000, -2.04427, 10.09779,  974,        1,
( 43/10|-17/5 ), 4.30000,-3.40000,  9.76708, -3.27850,  974,        1,
( 17/5 |-43/10), 3.40000,-4.30000,  7.72281, -6.81929,  974,        1,
(-43/10|  9/10),-4.30000, 0.90000, -9.76708, -3.27850,  974,        1,
(-17/5 | -9/10),-3.40000,-0.90000, -7.72281, -6.81929,  974,        1,
( 18/5 |  3/5 ), 3.60000, 0.60000,  8.17709,  6.29473,  975,        1,
( 21/5 | -3/5 ), 4.20000,-0.60000,  9.53994,  3.93420,  975,        1,
(-18/5 | 21/5 ),-3.60000, 4.20000, -8.17709,  6.29473,  975,        1,
(-21/5 | 18/5 ),-4.20000, 3.60000, -9.53994,  3.93420,  975,        1,
(  3/5 |-21/5 ), 0.60000,-4.20000,  1.36285,-10.22893,  975,        1,
( -3/5 |-18/5 ),-0.60000,-3.60000, -1.36285,-10.22893,  975,        1,
(  3/5 | 18/5 ), 0.60000, 3.60000,  1.36285, 10.22893,  976,        1,
( -3/5 | 21/5 ),-0.60000, 4.20000, -1.36285, 10.22893,  976,        1,
( 21/5 |-18/5 ), 4.20000,-3.60000,  9.53994, -3.93420,  976,        1,
( 18/5 |-21/5 ), 3.60000,-4.20000,  8.17709, -6.29473,  976,        1,
(-21/5 |  3/5 ),-4.20000, 0.60000, -9.53994, -3.93420,  976,        1,
(-18/5 | -3/5 ),-3.60000,-0.60000, -8.17709, -6.29473,  976,        1,
( 17/10| 14/5 ), 1.70000, 2.80000,  3.86140,  9.57323,  977,        1,
(-17/10|  9/2 ),-1.70000, 4.50000, -3.86140,  9.57323,  977,        1,
(  9/2 |-14/5 ), 4.50000,-2.80000, 10.22136, -1.44254,  977,        1,
( 14/5 | -9/2 ), 2.80000,-4.50000,  6.35996, -8.13069,  977,        1,
( -9/2 | 17/10),-4.50000, 1.70000,-10.22136, -1.44254,  977,        1,
(-14/5 |-17/10),-2.80000,-1.70000, -6.35996, -8.13069,  977,        1,
( 14/5 | 17/10), 2.80000, 1.70000,  6.35996,  8.13069,  978,        1,
(  9/2 |-17/10), 4.50000,-1.70000, 10.22136,  1.44254,  978,        1,
(-14/5 |  9/2 ),-2.80000, 4.50000, -6.35996,  8.13069,  978,        1,
( -9/2 | 14/5 ),-4.50000, 2.80000,-10.22136,  1.44254,  978,        1,
( 17/10| -9/2 ), 1.70000,-4.50000,  3.86140, -9.57323,  978,        1,
(-17/10|-14/5 ),-1.70000,-2.80000, -3.86140, -9.57323,  978,        1,
(  6/5 | 16/5 ), 1.20000, 3.20000,  2.72570,  9.96665,  979,        1,
( -6/5 | 22/5 ),-1.20000, 4.40000, -2.72570,  9.96665,  979,        1,
( 22/5 |-16/5 ), 4.40000,-3.20000,  9.99422, -2.62280,  979,        1,
( 16/5 |-22/5 ), 3.20000,-4.40000,  7.26852, -7.34385,  979,        1,
(-22/5 |  6/5 ),-4.40000, 1.20000, -9.99422, -2.62280,  979,        1,
(-16/5 | -6/5 ),-3.20000,-1.20000, -7.26852, -7.34385,  979,        1,
( 16/5 |  6/5 ), 3.20000, 1.20000,  7.26852,  7.34385,  980,        1,
( 22/5 | -6/5 ), 4.40000,-1.20000,  9.99422,  2.62280,  980,        1,
(-16/5 | 22/5 ),-3.20000, 4.40000, -7.26852,  7.34385,  980,        1,
(-22/5 | 16/5 ),-4.40000, 3.20000, -9.99422,  2.62280,  980,        1,
(  6/5 |-22/5 ), 1.20000,-4.40000,  2.72570, -9.96665,  980,        1,
( -6/5 |-16/5 ),-1.20000,-3.20000, -2.72570, -9.96665,  980,        1,
( 29/10|  8/5 ), 2.90000, 1.60000,  6.58710,  7.99955,  981,        1,
(  9/2 | -8/5 ), 4.50000,-1.60000, 10.22136,  1.70482,  981,        1,
(-29/10|  9/2 ),-2.90000, 4.50000, -6.58710,  7.99955,  981,        1,
( -9/2 | 29/10),-4.50000, 2.90000,-10.22136,  1.70482,  981,        1,
(  8/5 | -9/2 ), 1.60000,-4.50000,  3.63426, -9.70437,  981,        1,
( -8/5 |-29/10),-1.60000,-2.90000, -3.63426, -9.70437,  981,        1,
( 39/10|  1/10), 3.90000, 0.10000,  8.85851,  5.37675,  982,        1,
(  4   | -1/10), 4.00000,-0.10000,  9.08566,  4.98333,  982,        1,
(-39/10|  4   ),-3.90000, 4.00000, -8.85851,  5.37675,  982,        1,
( -4   | 39/10),-4.00000, 3.90000, -9.08566,  4.98333,  982,        1,
(  1/10| -4   ), 0.10000,-4.00000,  0.22714,-10.36007,  982,        1,
( -1/10|-39/10),-0.10000,-3.90000, -0.22714,-10.36007,  982,        1,
(  8/5 | 29/10), 1.60000, 2.90000,  3.63426,  9.70437,  983,        1,
( -8/5 |  9/2 ),-1.60000, 4.50000, -3.63426,  9.70437,  983,        1,
(  9/2 |-29/10), 4.50000,-2.90000, 10.22136, -1.70482,  983,        1,
( 29/10| -9/2 ), 2.90000,-4.50000,  6.58710, -7.99955,  983,        1,
( -9/2 |  8/5 ),-4.50000, 1.60000,-10.22136, -1.70482,  983,        1,
(-29/10| -8/5 ),-2.90000,-1.60000, -6.58710, -7.99955,  983,        1,
