# This file was automatically generated by ViPErLEED v. 0.1a.
#
# Structure: Pt(111)-(10x10)Te
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Hexagonal (p3m1); a = 2.7662 AA; alpha = 120.00 deg
#        Basis: a = [2.7662 0.0000]; b = [-1.3831  2.3956]
# Surface lattice: Hexagonal (p3m1); a = 27.6620 AA; alpha = 120.00 deg
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [27.6620  0.0000]; b = [-13.8310  23.9560]
#            Superlattice: [[10  0] [ 0 10]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h   |  k   ),   h    ,   k    ,   gx    ,   gy    ,group,domain(s),
( -2/5 | -1/2 ),-0.40000,-0.50000, -0.90857, -1.83596,   44,        1,
(  3/10|  3/5 ), 0.30000, 0.60000,  0.68142,  1.96710,   45,        1,
( -3/10|  9/10),-0.30000, 0.90000, -0.68142,  1.96710,   45,        1,
(  9/10| -3/5 ), 0.90000,-0.60000,  2.04427, -0.39342,   45,        1,
(  3/5 | -9/10), 0.60000,-0.90000,  1.36285, -1.57368,   45,        1,
( -9/10|  3/10),-0.90000, 0.30000, -2.04427, -0.39342,   45,        1,
( -3/5 | -3/10),-0.60000,-0.30000, -1.36285, -1.57368,   45,        1,
(  3/5 |  3/10), 0.60000, 0.30000,  1.36285,  1.57368,   46,        1,
(  9/10| -3/10), 0.90000,-0.30000,  2.04427,  0.39342,   46,        1,
( -3/5 |  9/10),-0.60000, 0.90000, -1.36285,  1.57368,   46,        1,
( -9/10|  3/5 ),-0.90000, 0.60000, -2.04427,  0.39342,   46,        1,
(  3/10| -9/10), 0.30000,-0.90000,  0.68142, -1.96710,   46,        1,
( -3/10| -3/5 ),-0.30000,-0.60000, -0.68142, -1.96710,   46,        1,
(  0   |  4/5 ), 0.00000, 0.80000,  0.00000,  2.09824,   47,        1,
(  4/5 | -4/5 ), 0.80000,-0.80000,  1.81713, -1.04912,   47,        1,
( -4/5 |  0   ),-0.80000, 0.00000, -1.81713, -1.04912,   47,        1,
(  4/5 |  0   ), 0.80000, 0.00000,  1.81713,  1.04912,   48,        1,
( -4/5 |  4/5 ),-0.80000, 0.80000, -1.81713,  1.04912,   48,        1,
(  0   | -4/5 ), 0.00000,-0.80000,  0.00000, -2.09824,   48,        1,
(  1/5 |  7/10), 0.20000, 0.70000,  0.45428,  2.09824,   49,        1,
( -1/5 |  9/10),-0.20000, 0.90000, -0.45428,  2.09824,   49,        1,
(  9/10| -7/10), 0.90000,-0.70000,  2.04427, -0.65570,   49,        1,
(  7/10| -9/10), 0.70000,-0.90000,  1.58999, -1.44254,   49,        1,
( -9/10|  1/5 ),-0.90000, 0.20000, -2.04427, -0.65570,   49,        1,
( -7/10| -1/5 ),-0.70000,-0.20000, -1.58999, -1.44254,   49,        1,
(  7/10|  1/5 ), 0.70000, 0.20000,  1.58999,  1.44254,   50,        1,
(  9/10| -1/5 ), 0.90000,-0.20000,  2.04427,  0.65570,   50,        1,
( -7/10|  9/10),-0.70000, 0.90000, -1.58999,  1.44254,   50,        1,
( -9/10|  7/10),-0.90000, 0.70000, -2.04427,  0.65570,   50,        1,
(  1/5 | -9/10), 0.20000,-0.90000,  0.45428, -2.09824,   50,        1,
( -1/5 | -7/10),-0.20000,-0.70000, -0.45428, -2.09824,   50,        1,
(  4/5 |  1/10), 0.80000, 0.10000,  1.81713,  1.31140,   51,        1,
(  9/10| -1/10), 0.90000,-0.10000,  2.04427,  0.91798,   51,        1,
( -4/5 |  9/10),-0.80000, 0.90000, -1.81713,  1.31140,   51,        1,
( -9/10|  4/5 ),-0.90000, 0.80000, -2.04427,  0.91798,   51,        1,
(  1/10| -9/10), 0.10000,-0.90000,  0.22714, -2.22938,   51,        1,
( -1/10| -4/5 ),-0.10000,-0.80000, -0.22714, -2.22938,   51,        1,
(  1/10|  4/5 ), 0.10000, 0.80000,  0.22714,  2.22938,   52,        1,
( -1/10|  9/10),-0.10000, 0.90000, -0.22714,  2.22938,   52,        1,
(  9/10| -4/5 ), 0.90000,-0.80000,  2.04427, -0.91798,   52,        1,
(  4/5 | -9/10), 0.80000,-0.90000,  1.81713, -1.31140,   52,        1,
( -9/10|  1/10),-0.90000, 0.10000, -2.04427, -0.91798,   52,        1,
