# This file was automatically generated by ViPErLEED v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/000-package/viperleed/guilib/leedsim/input examples/Ag(110)-c(2x2).tlm
#
# Structure: Ag(110)-c(2x2)Te
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Rectangular (pmm); a = 5.7840 AA; b = 4.0900 AA
#        Basis: a = [ 0.0000 -5.7840]; b = [4.0900 0.0000]
# Surface lattice: Rhombic (cmm); a = 7.0840 AA; alpha = 109.47 deg
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [ 4.0900 -5.7840]; b = [4.0900 5.7840]
#            Superlattice: [[ 1  1] [-1  1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(   h |   k ),     h   ,     k   ,    gx   ,    gy   ,group,domain(s),
( -6  | -2  ), -6.00000, -2.00000, -3.07246,  6.51783,   55,        1,
(  9/2|  7/2),  4.50000,  3.50000,  5.37681, -4.88837,   56,        1,
(  9/2| -7/2),  4.50000, -3.50000, -5.37681, -4.88837,   56,        1,
( -9/2|  7/2), -4.50000,  3.50000,  5.37681,  4.88837,   56,        1,
( -9/2| -7/2), -4.50000, -3.50000, -5.37681,  4.88837,   56,        1,
(  5/2|  9/2),  2.50000,  4.50000,  6.91304, -2.71576,   57,        1,
( -5/2|  9/2), -2.50000,  4.50000,  6.91304,  2.71576,   57,        1,
(  5/2| -9/2),  2.50000, -4.50000, -6.91304, -2.71576,   57,        1,
( -5/2| -9/2), -2.50000, -4.50000, -6.91304,  2.71576,   57,        1,
( 13/2|  3/2),  6.50000,  1.50000,  2.30435, -7.06098,   58,        1,
( 13/2| -3/2),  6.50000, -1.50000, -2.30435, -7.06098,   58,        1,
(-13/2|  3/2), -6.50000,  1.50000,  2.30435,  7.06098,   58,        1,
(-13/2| -3/2), -6.50000, -1.50000, -2.30435,  7.06098,   58,        1,
(  4  |  4  ),  4.00000,  4.00000,  6.14492, -4.34522,   59,        1,
(  4  | -4  ),  4.00000, -4.00000, -6.14492, -4.34522,   59,        1,
( -4  |  4  ), -4.00000,  4.00000,  6.14492,  4.34522,   59,        1,
( -4  | -4  ), -4.00000, -4.00000, -6.14492,  4.34522,   59,        1,
(  7  |  0  ),  7.00000,  0.00000,  0.00000, -7.60413,   60,        1,
( -7  |  0  ), -7.00000,  0.00000,  0.00000,  7.60413,   60,        1,
(  0  |  5  ),  0.00000,  5.00000,  7.68116,  0.00000,   61,        1,
(  0  | -5  ),  0.00000, -5.00000, -7.68116, -0.00000,   61,        1,
(  1  |  5  ),  1.00000,  5.00000,  7.68116, -1.08630,   62,        1,
( -1  |  5  ), -1.00000,  5.00000,  7.68116,  1.08630,   62,        1,
(  1  | -5  ),  1.00000, -5.00000, -7.68116, -1.08630,   62,        1,
( -1  | -5  ), -1.00000, -5.00000, -7.68116,  1.08630,   62,        1,
(  7  |  1  ),  7.00000,  1.00000,  1.53623, -7.60413,   63,        1,
(  7  | -1  ),  7.00000, -1.00000, -1.53623, -7.60413,   63,        1,
( -7  |  1  ), -7.00000,  1.00000,  1.53623,  7.60413,   63,        1,
( -7  | -1  ), -7.00000, -1.00000, -1.53623,  7.60413,   63,        1,
(  7/2|  9/2),  3.50000,  4.50000,  6.91304, -3.80207,   64,        1,
( -7/2|  9/2), -3.50000,  4.50000,  6.91304,  3.80207,   64,        1,
(  7/2| -9/2),  3.50000, -4.50000, -6.91304, -3.80207,   64,        1,
( -7/2| -9/2), -3.50000, -4.50000, -6.91304,  3.80207,   64,        1,
(  2  |  5  ),  2.00000,  5.00000,  7.68116, -2.17261,   65,        1,
( -2  |  5  ), -2.00000,  5.00000,  7.68116,  2.17261,   65,        1,
(  2  | -5  ),  2.00000, -5.00000, -7.68116, -2.17261,   65,        1,
( -2  | -5  ), -2.00000, -5.00000, -7.68116,  2.17261,   65,        1,
(  6  |  3  ),  6.00000,  3.00000,  4.60869, -6.51783,   66,        1,
(  6  | -3  ),  6.00000, -3.00000, -4.60869, -6.51783,   66,        1,
( -6  |  3  ), -6.00000,  3.00000,  4.60869,  6.51783,   66,        1,
( -6  | -3  ), -6.00000, -3.00000, -4.60869,  6.51783,   66,        1,
( 11/2|  7/2),  5.50000,  3.50000,  5.37681, -5.97467,   67,        1,
( 11/2| -7/2),  5.50000, -3.50000, -5.37681, -5.97467,   67,        1,
(-11/2|  7/2), -5.50000,  3.50000,  5.37681,  5.97467,   67,        1,
(-11/2| -7/2), -5.50000, -3.50000, -5.37681,  5.97467,   67,        1,
( 13/2|  5/2),  6.50000,  2.50000,  3.84058, -7.06098,   68,        1,
( 13/2| -5/2),  6.50000, -2.50000, -3.84058, -7.06098,   68,        1,
(-13/2|  5/2), -6.50000,  2.50000,  3.84058,  7.06098,   68,        1,
(-13/2| -5/2), -6.50000, -2.50000, -3.84058,  7.06098,   68,        1,
( 15/2|  1/2),  7.50000,  0.50000,  0.76812, -8.14728,   69,        1,
( 15/2| -1/2),  7.50000, -0.50000, -0.76812, -8.14728,   69,        1,
(-15/2|  1/2), -7.50000,  0.50000,  0.76812,  8.14728,   69,        1,
(-15/2| -1/2), -7.50000, -0.50000, -0.76812,  8.14728,   69,        1,
(  5  |  4  ),  5.00000,  4.00000,  6.14492, -5.43152,   70,        1,
(  5  | -4  ),  5.00000, -4.00000, -6.14492, -5.43152,   70,        1,
( -5  |  4  ), -5.00000,  4.00000,  6.14492,  5.43152,   70,        1,
( -5  | -4  ), -5.00000, -4.00000, -6.14492,  5.43152,   70,        1,
(  7  |  2  ),  7.00000,  2.00000,  3.07246, -7.60413,   71,        1,
(  7  | -2  ),  7.00000, -2.00000, -3.07246, -7.60413,   71,        1,
( -7  |  2  ), -7.00000,  2.00000,  3.07246,  7.60413,   71,        1,
( -7  | -2  ), -7.00000, -2.00000, -3.07246,  7.60413,   71,        1,
(  3  |  5  ),  3.00000,  5.00000,  7.68116, -3.25891,   72,        1,
( -3  |  5  ), -3.00000,  5.00000,  7.68116,  3.25891,   72,        1,
(  3  | -5  ),  3.00000, -5.00000, -7.68116, -3.25891,   72,        1,
( -3  | -5  ), -3.00000, -5.00000, -7.68116,  3.25891,   72,        1,
(  1/2| 11/2),  0.50000,  5.50000,  8.44927, -0.54315,   73,        1,
( -1/2| 11/2), -0.50000,  5.50000,  8.44927,  0.54315,   73,        1,
(  1/2|-11/2),  0.50000, -5.50000, -8.44927, -0.54315,   73,        1,
( -1/2|-11/2), -0.50000, -5.50000, -8.44927,  0.54315,   73,        1,
(  9/2|  9/2),  4.50000,  4.50000,  6.91304, -4.88837,   74,        1,
(  9/2| -9/2),  4.50000, -4.50000, -6.91304, -4.88837,   74,        1,
( -9/2|  9/2), -4.50000,  4.50000,  6.91304,  4.88837,   74,        1,
( -9/2| -9/2), -4.50000, -4.50000, -6.91304,  4.88837,   74,        1,
( 15/2|  3/2),  7.50000,  1.50000,  2.30435, -8.14728,   75,        1,
( 15/2| -3/2),  7.50000, -1.50000, -2.30435, -8.14728,   75,        1,
(-15/2|  3/2), -7.50000,  1.50000,  2.30435,  8.14728,   75,        1,
(-15/2| -3/2), -7.50000, -1.50000, -2.30435,  8.14728,   75,        1,
