# This file was automatically generated by ViPErLEED v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/000-git/viperleed/guilib/leedsim/input examples/Fe2O3(012)-(1x1).tlm
#
# Structure: Fe2O3(012)-(1x1)
#
# Max. LEED Energy: 800.0 eV
# Bulk lattice: Rectangular (pg[0 1]); a = 5.0350 AA; b = 5.4266 AA
#        Basis: a = [5.0350 0.0000]; b = [0.0000 5.4266]
# Surface lattice: Rectangular (pg[0 1]); a = 5.0350 AA; b = 5.4266 AA
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [5.0350 0.0000]; b = [0.0000 5.4266]
#            Superlattice: [[1 0] [0 1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h|  k),     h   ,     k   ,    gx   ,    gy   ,group,domain(s),
( -6| -2), -6.00000, -2.00000, -7.48741, -2.31570,   74,        1,
(  3| -6),  3.00000, -6.00000,  3.74371, -6.94710,   75,        1,
( -3| -6), -3.00000, -6.00000, -3.74371, -6.94710,   75,        1,
(  3|  6),  3.00000,  6.00000,  3.74371,  6.94710,   76,        1,
( -3|  6), -3.00000,  6.00000, -3.74371,  6.94710,   76,        1,
(  0| -7),  0.00000, -7.00000,  0.00000, -8.10495,  -77,      (1),
(  0|  7),  0.00000,  7.00000,  0.00000,  8.10495,  -78,      (1),
(  1| -7),  1.00000, -7.00000,  1.24790, -8.10495,   79,        1,
( -1| -7), -1.00000, -7.00000, -1.24790, -8.10495,   79,        1,
(  1|  7),  1.00000,  7.00000,  1.24790,  8.10495,   80,        1,
( -1|  7), -1.00000,  7.00000, -1.24790,  8.10495,   80,        1,
(  6| -3),  6.00000, -3.00000,  7.48741, -3.47355,   81,        1,
( -6| -3), -6.00000, -3.00000, -7.48741, -3.47355,   81,        1,
(  6|  3),  6.00000,  3.00000,  7.48741,  3.47355,   82,        1,
( -6|  3), -6.00000,  3.00000, -7.48741,  3.47355,   82,        1,
(  2| -7),  2.00000, -7.00000,  2.49580, -8.10495,   83,        1,
( -2| -7), -2.00000, -7.00000, -2.49580, -8.10495,   83,        1,
(  2|  7),  2.00000,  7.00000,  2.49580,  8.10495,   84,        1,
( -2|  7), -2.00000,  7.00000, -2.49580,  8.10495,   84,        1,
(  5| -5),  5.00000, -5.00000,  6.23951, -5.78925,   85,        1,
( -5| -5), -5.00000, -5.00000, -6.23951, -5.78925,   85,        1,
(  5|  5),  5.00000,  5.00000,  6.23951,  5.78925,   86,        1,
( -5|  5), -5.00000,  5.00000, -6.23951,  5.78925,   86,        1,
(  4| -6),  4.00000, -6.00000,  4.99161, -6.94710,   87,        1,
( -4| -6), -4.00000, -6.00000, -4.99161, -6.94710,   87,        1,
(  4|  6),  4.00000,  6.00000,  4.99161,  6.94710,   88,        1,
( -4|  6), -4.00000,  6.00000, -4.99161,  6.94710,   88,        1,
(  7|  0),  7.00000,  0.00000,  8.73531, -0.00000,   89,        1,
( -7|  0), -7.00000,  0.00000, -8.73531,  0.00000,   89,        1,
(  6|  4),  6.00000,  4.00000,  7.48741,  4.63140,   90,        1,
( -6|  4), -6.00000,  4.00000, -7.48741,  4.63140,   90,        1,
(  6| -4),  6.00000, -4.00000,  7.48741, -4.63140,   91,        1,
( -6| -4), -6.00000, -4.00000, -7.48741, -4.63140,   91,        1,
(  7| -1),  7.00000, -1.00000,  8.73531, -1.15785,   92,        1,
( -7| -1), -7.00000, -1.00000, -8.73531, -1.15785,   92,        1,
(  7|  1),  7.00000,  1.00000,  8.73531,  1.15785,   93,        1,
( -7|  1), -7.00000,  1.00000, -8.73531,  1.15785,   93,        1,
(  3| -7),  3.00000, -7.00000,  3.74371, -8.10495,   94,        1,
( -3| -7), -3.00000, -7.00000, -3.74371, -8.10495,   94,        1,
(  3|  7),  3.00000,  7.00000,  3.74371,  8.10495,   95,        1,
( -3|  7), -3.00000,  7.00000, -3.74371,  8.10495,   95,        1,
(  7| -2),  7.00000, -2.00000,  8.73531, -2.31570,   96,        1,
( -7| -2), -7.00000, -2.00000, -8.73531, -2.31570,   96,        1,
(  7|  2),  7.00000,  2.00000,  8.73531,  2.31570,   97,        1,
( -7|  2), -7.00000,  2.00000, -8.73531,  2.31570,   97,        1,
(  0| -8),  0.00000, -8.00000,  0.00000, -9.26279,   98,        1,
(  0|  8),  0.00000,  8.00000,  0.00000,  9.26279,   99,        1,
(  5| -6),  5.00000, -6.00000,  6.23951, -6.94710,  100,        1,
( -5| -6), -5.00000, -6.00000, -6.23951, -6.94710,  100,        1,
(  5|  6),  5.00000,  6.00000,  6.23951,  6.94710,  101,        1,
( -5|  6), -5.00000,  6.00000, -6.23951,  6.94710,  101,        1,
(  1| -8),  1.00000, -8.00000,  1.24790, -9.26279,  102,        1,
( -1| -8), -1.00000, -8.00000, -1.24790, -9.26279,  102,        1,
(  1|  8),  1.00000,  8.00000,  1.24790,  9.26279,  103,        1,
( -1|  8), -1.00000,  8.00000, -1.24790,  9.26279,  103,        1,
(  7| -3),  7.00000, -3.00000,  8.73531, -3.47355,  104,        1,
( -7| -3), -7.00000, -3.00000, -8.73531, -3.47355,  104,        1,
(  7|  3),  7.00000,  3.00000,  8.73531,  3.47355,  105,        1,
( -7|  3), -7.00000,  3.00000, -8.73531,  3.47355,  105,        1,
(  6|  5),  6.00000,  5.00000,  7.48741,  5.78925,  106,        1,
( -6|  5), -6.00000,  5.00000, -7.48741,  5.78925,  106,        1,
(  6| -5),  6.00000, -5.00000,  7.48741, -5.78925,  107,        1,
( -6| -5), -6.00000, -5.00000, -7.48741, -5.78925,  107,        1,
(  4| -7),  4.00000, -7.00000,  4.99161, -8.10495,  108,        1,
( -4| -7), -4.00000, -7.00000, -4.99161, -8.10495,  108,        1,
(  4|  7),  4.00000,  7.00000,  4.99161,  8.10495,  109,        1,
( -4|  7), -4.00000,  7.00000, -4.99161,  8.10495,  109,        1,
(  2| -8),  2.00000, -8.00000,  2.49580, -9.26279,  110,        1,
( -2| -8), -2.00000, -8.00000, -2.49580, -9.26279,  110,        1,
(  2|  8),  2.00000,  8.00000,  2.49580,  9.26279,  111,        1,
( -2|  8), -2.00000,  8.00000, -2.49580,  9.26279,  111,        1,
(  7| -4),  7.00000, -4.00000,  8.73531, -4.63140,  112,        1,
( -7| -4), -7.00000, -4.00000, -8.73531, -4.63140,  112,        1,
(  7|  4),  7.00000,  4.00000,  8.73531,  4.63140,  113,        1,
( -7|  4), -7.00000,  4.00000, -8.73531,  4.63140,  113,        1,
(  8|  0),  8.00000,  0.00000,  9.98321, -0.00000,  114,        1,
( -8|  0), -8.00000,  0.00000, -9.98321,  0.00000,  114,        1,
(  3| -8),  3.00000, -8.00000,  3.74371, -9.26279,  115,        1,
( -3| -8), -3.00000, -8.00000, -3.74371, -9.26279,  115,        1,
(  3|  8),  3.00000,  8.00000,  3.74371,  9.26279,  116,        1,
( -3|  8), -3.00000,  8.00000, -3.74371,  9.26279,  116,        1,
(  8| -1),  8.00000, -1.00000,  9.98321, -1.15785,  117,        1,
( -8| -1), -8.00000, -1.00000, -9.98321, -1.15785,  117,        1,
(  8|  1),  8.00000,  1.00000,  9.98321,  1.15785,  118,        1,
( -8|  1), -8.00000,  1.00000, -9.98321,  1.15785,  118,        1,
(  6|  6),  6.00000,  6.00000,  7.48741,  6.94710,  119,        1,
( -6|  6), -6.00000,  6.00000, -7.48741,  6.94710,  119,        1,
(  6| -6),  6.00000, -6.00000,  7.48741, -6.94710,  120,        1,
( -6| -6), -6.00000, -6.00000, -7.48741, -6.94710,  120,        1,
(  5| -7),  5.00000, -7.00000,  6.23951, -8.10495,  121,        1,
( -5| -7), -5.00000, -7.00000, -6.23951, -8.10495,  121,        1,
(  5|  7),  5.00000,  7.00000,  6.23951,  8.10495,  122,        1,
( -5|  7), -5.00000,  7.00000, -6.23951,  8.10495,  122,        1,
(  8| -2),  8.00000, -2.00000,  9.98321, -2.31570,  123,        1,
( -8| -2), -8.00000, -2.00000, -9.98321, -2.31570,  123,        1,
(  8|  2),  8.00000,  2.00000,  9.98321,  2.31570,  124,        1,
( -8|  2), -8.00000,  2.00000, -9.98321,  2.31570,  124,        1,
(  0| -9),  0.00000, -9.00000,  0.00000,-10.42064, -125,      (1),
(  0|  9),  0.00000,  9.00000,  0.00000, 10.42064, -126,      (1),
(  7| -5),  7.00000, -5.00000,  8.73531, -5.78925,  127,        1,
( -7| -5), -7.00000, -5.00000, -8.73531, -5.78925,  127,        1,
(  7|  5),  7.00000,  5.00000,  8.73531,  5.78925,  128,        1,
( -7|  5), -7.00000,  5.00000, -8.73531,  5.78925,  128,        1,
(  1| -9),  1.00000, -9.00000,  1.24790,-10.42064,  129,        1,
( -1| -9), -1.00000, -9.00000, -1.24790,-10.42064,  129,        1,
(  1|  9),  1.00000,  9.00000,  1.24790, 10.42064,  130,        1,
( -1|  9), -1.00000,  9.00000, -1.24790, 10.42064,  130,        1,
(  4| -8),  4.00000, -8.00000,  4.99161, -9.26279,  131,        1,
( -4| -8), -4.00000, -8.00000, -4.99161, -9.26279,  131,        1,
(  4|  8),  4.00000,  8.00000,  4.99161,  9.26279,  132,        1,
( -4|  8), -4.00000,  8.00000, -4.99161,  9.26279,  132,        1,
